Geneid,Symbol,Caudate_TWAS.Z,Caudate_FDR,Caudate_GWAS.SNP,DLPFC_TWAS.Z,DLPFC_FDR,DLPFC_GWAS.SNP,HIPPO_TWAS.Z,HIPPO_FDR,HIPPO_GWAS.SNP
ENSG00000219891,ZSCAN12P1,12.3759934171995,1.8710994522729375e-31,Risk SNP,,,,,,
ENSG00000204338,CYP21A1P,12.1637003272408,1.2874679724175233e-30,Risk SNP,,,,,,
ENSG00000244731,C4A,11.9352654395969,1.3714321377111728e-29,Risk SNP,,,,,,
ENSG00000228962,HCG23,-10.963173329538,7.623470963852093e-25,Risk SNP,,,,,,
ENSG00000237669,HCG4P3,-9.40799999999997,5.3681586239842484e-18,Risk SNP,,,,,,
ENSG00000186470,BTN3A2,9.24540762884354,2.0731786771362978e-17,Risk SNP,,,,,,
ENSG00000124613,ZNF391,-9.21943832886144,2.2647000266706772e-17,Risk SNP,,,,,,
ENSG00000066379,ZNRD1,9.13171750119516,4.473386979661059e-17,Risk SNP,,,,,,
ENSG00000227766,HCG4P5,-9.06970727675394,7.038241940766104e-17,Risk SNP,,,,,,
ENSG00000181126,HLA-V,-8.92543668456414,2.356456176774676e-16,Risk SNP,,,,,,
ENSG00000204256,BRD2,-8.87952271563793,3.2401890878513413e-16,Risk SNP,,,,,,
ENSG00000216901,ZNF603P,-8.86037594724861,3.5273896067143726e-16,Risk SNP,,,,,,
ENSG00000204257,HLA-DMA,-8.68921068533299,1.4901853573986273e-15,Risk SNP,,,,,,
ENSG00000275221,HIST1H2AK,-8.60518958778044,2.888716765634502e-15,Risk SNP,,,,,,
ENSG00000227262,HCG4B,-8.55466092383979,4.183259604701032e-15,Risk SNP,,,,,,
ENSG00000137411,VARS2,8.53958579418356,4.205928552228981e-15,Risk SNP,,,,,,
ENSG00000204371,EHMT2,8.54177133849419,4.205928552228981e-15,Risk SNP,,,,,,
ENSG00000225914,ENSG00000225914,-8.36655099968498,1.74955360081725e-14,Risk SNP,,,,,,
ENSG00000204435,CSNK2B,-8.18956955052992,7.3239810809412e-14,Risk SNP,,,,,,
ENSG00000219392,ZNF602P,8.12031064172526,1.234088628326939e-13,Risk SNP,,,,,,
ENSG00000197279,ZNF165,7.97008426806174,4.007949676603269e-13,Risk SNP,,,,,,
ENSG00000187987,ZSCAN23,-7.91102891783823,6.158974218203538e-13,Risk SNP,,,,,,
ENSG00000204540,PSORS1C1,7.86793071923255,8.123885191265407e-13,Risk SNP,,,,,,
ENSG00000204351,SKIV2L,7.86560440638825,8.123885191265407e-13,Risk SNP,,,,,,
ENSG00000226314,ZNF192P1,-7.76916962211176,1.677377163319796e-12,Risk SNP,,,,,,
ENSG00000189298,ZKSCAN3,7.75302791094164,1.8318089043274586e-12,Risk SNP,,,,,,
ENSG00000198502,HLA-DRB5,7.59429056984698,6.084211243846433e-12,Risk SNP,,,,,,
ENSG00000230795,HLA-K,7.39242234794971,2.7331973049531322e-11,Risk SNP,,,,,,
ENSG00000235109,ZSCAN31,-7.38309891048669,2.830574271463198e-11,Risk SNP,,,,,,
ENSG00000088808,PPP1R13B,7.03881113782528,3.430506490760212e-10,Risk SNP,,,,,,
ENSG00000281538,ENSG00000281538,7.02877128294776,3.5676642317109177e-10,Risk SNP,6.442,8.08595e-08,Risk SNP,7.0066,4.85194e-09,Risk SNP
ENSG00000226124,FTCDNL1,-6.96538506571442,5.432517492058013e-10,Risk SNP,-6.581908,4.23941333333333e-08,Risk SNP,-5.53615,6.144465e-06,Risk SNP
ENSG00000169592,INO80E,6.93998453463231,6.307558634274966e-10,Risk SNP,6.29723,1.84560666666667e-07,Risk SNP,6.91949,6.00527e-09,Risk SNP
ENSG00000225968,ELFN1,-6.80631588811847,1.5185388424309759e-09,Risk SNP,,,,,,
ENSG00000204308,RNF5,-6.8072320671546,1.5185388424309759e-09,Risk SNP,,,,,,
ENSG00000180596,HIST1H2BC,-6.69986745924896,3.075818828017993e-09,Risk SNP,,,,,,
ENSG00000200816,SNORA38,-6.59196230180971,6.226869674036631e-09,Risk SNP,,,,,,
ENSG00000198951,NAGA,6.56653052057448,7.1938898654961404e-09,Risk SNP,7.1708,4.089572e-09,Risk SNP,7.5978,1.197077e-10,Risk SNP
ENSG00000179344,HLA-DQB1,6.54076298044938,8.33026192339393e-09,Risk SNP,,,,,,
ENSG00000269940,ENSG00000269940,6.467624162989,1.3211045604871222e-08,Risk SNP,,,,,,
ENSG00000204525,HLA-C,-6.29737035855397,3.9193412891395065e-08,Risk SNP,,,,,,
ENSG00000198315,ZKSCAN8,-6.19759868523343,7.245558107479085e-08,Risk SNP,,,,,,
ENSG00000163938,GNL3,6.19011230753904,7.421493008566583e-08,Risk SNP,,,,,,
ENSG00000114054,PCCB,-6.17243825612148,8.112167195213683e-08,Risk SNP,-6.22728,2.36722727272727e-07,Risk SNP,,,
ENSG00000166159,LRTM2,-6.0629930429293,1.5760212448215125e-07,Risk SNP,,,,,,
ENSG00000198911,SREBF2,-6.05717733989175,1.5985254310766046e-07,Risk SNP,,,,,,
ENSG00000204264,PSMB8,6.01805518414316,1.993605973676792e-07,Risk SNP,,,,,,
ENSG00000249484,LINC01470,6.00312801771856,2.1403613040514906e-07,Risk SNP,,,,,,
ENSG00000120451,SNX19,5.8175802474564,6.467700643856719e-07,Risk SNP,,,,,,
ENSG00000272009,ENSG00000272009,-5.78911640799603,7.511632063134141e-07,Risk SNP,,,,,,
ENSG00000149929,HIRIP3,5.78503705565015,7.545306112456624e-07,Risk SNP,,,,,,
ENSG00000196126,HLA-DRB1,5.77556801542638,7.828678437392494e-07,Risk SNP,,,,,,
ENSG00000100197,CYP2D6,-5.72454407506007,1.0386842732560756e-06,Risk SNP,-4.9067,0.0001153656444444,Risk SNP,-5.0158,7.24088275862069e-05,Risk SNP
ENSG00000167491,GATAD2A,-5.69385411613133,1.220871638586022e-06,Risk SNP,,,,-6.625048,2.760038e-08,Risk SNP
ENSG00000270108,ENSG00000270108,5.66440828889492,1.4238250843213746e-06,Risk SNP,,,,,,
ENSG00000256053,APOPT1,-5.62067091828004,1.8029882515954044e-06,Risk SNP,,,,,,
ENSG00000204248,COL11A2,5.59876838634168,2.010335052310124e-06,Risk SNP,,,,,,
ENSG00000183066,WBP2NL,5.57312117254663,2.289902345990936e-06,Risk SNP,5.2673,2.44037419354839e-05,Risk SNP,4.164,0.0017288902777777,Risk SNP
ENSG00000152219,ARL14EP,5.48600000000001,3.698838369776841e-06,Risk SNP,5.38773,1.5656592e-05,Risk SNP,,,
