Geneid,Symbol,Caudate_TWAS.Z,Caudate_FDR,Caudate_GWAS.SNP,DLPFC_TWAS.Z,DLPFC_FDR,DLPFC_GWAS.SNP,HIPPO_TWAS.Z,HIPPO_FDR,HIPPO_GWAS.SNP
ENSG00000270083,ENSG00000270083,5.44289337019299,4.637602198049132e-06,Risk SNP,,,,,,
ENSG00000235963,MCCD1P1,-5.41995545382491,5.187385523425391e-06,Risk SNP,,,,,,
ENSG00000259404,EFTUD1P1,-5.40305848219939,5.608851258745717e-06,Risk SNP,,,,,,
ENSG00000206337,HCP5,5.32201496397121,8.646490029196469e-06,Risk SNP,,,,,,
ENSG00000175662,TOM1L2,-5.30597869220292,9.294809724723788e-06,Risk SNP,,,,,,
ENSG00000162971,TYW5,-5.26170805949419,1.1478410069623676e-05,Risk SNP,-6.685623,3.15215e-08,Risk SNP,,,
ENSG00000178538,CA8,5.26398893046792,1.1478410069623676e-05,Risk SNP,-1.8697,0.273211507293355,Risk SNP,,,
ENSG00000106789,CORO2A,5.2328055640488,1.322692879122972e-05,Risk SNP,0.8942,0.681804223935635,Risk SNP,-0.6029,0.806606970708194,Risk SNP
ENSG00000235423,ENSG00000235423,-5.22496541635828,1.3596884036519366e-05,Risk SNP,,,,-4.98916,8.03354e-05,Risk SNP
ENSG00000163016,ALMS1P1,5.20688357254588,1.4562005028660243e-05,Risk SNP,4.844988,0.0001338873076923,Risk SNP,5.22994,2.81704166666667e-05,Risk SNP
ENSG00000110492,MDK,-5.20778284343104,1.4562005028660243e-05,Risk SNP,,,,,,
ENSG00000227370,ENSG00000227370,5.19117763234887,1.5622576032133997e-05,Risk SNP,0.3209,0.902605326876513,Risk SNP,0.9065,0.678320093457944,Risk SNP
ENSG00000263426,RN7SL471P,5.15320779668218,1.8877898060418625e-05,Risk SNP,,,,,,
ENSG00000205702,CYP2D7,5.1484122932399,1.9101570158789277e-05,Risk SNP,,,,,,
ENSG00000262074,SNORD3B-2,5.10680549693223,2.350229617537779e-05,Other,1.67079,0.344975461741425,Other,,,
ENSG00000203886,CYP17A1-AS1,-5.09944988654021,2.4108372569187554e-05,Risk SNP,-6.2277,2.36722727272727e-07,Risk SNP,,,
ENSG00000176998,HCG4,5.08056004185869,2.6283244028839815e-05,Risk SNP,,,,,,
ENSG00000232732,ENSG00000232732,-5.07200947284109,2.7135377596066956e-05,Risk SNP,,,,,,
ENSG00000234745,HLA-B,-5.02790552426363,3.374432089673746e-05,Risk SNP,,,,,,
ENSG00000058453,CROCC,4.98109989099472,4.194905226363408e-05,Other,,,,,,
ENSG00000111237,VPS29,-4.9835064093418,4.194905226363408e-05,Risk SNP,,,,,,
ENSG00000271843,ENSG00000271843,-4.96861691302539,4.4188863425611496e-05,Risk SNP,-3.71024,0.00594122513089,Risk SNP,,,
ENSG00000126214,KLC1,-4.93812500032572,5.105860987710075e-05,Risk SNP,,,,,,
ENSG00000183831,ANKRD45,4.92313825204469,5.446598815555096e-05,Other,,,,-1.00504,0.63721007121058,Other
ENSG00000146830,GIGYF1,4.89829539932112,6.108726204993761e-05,Other,4.69143,0.0002561417241379,Other,3.7971,0.005986,Other
ENSG00000100162,CENPM,-4.89241332137544,6.220163445567148e-05,Risk SNP,,,,,,
ENSG00000172922,RNASEH2C,-4.87188967767152,6.822377929807618e-05,Risk SNP,-4.45996,0.0005763128205128,Risk SNP,,,
ENSG00000206341,HLA-H,4.82815310876178,8.40769673876891e-05,Risk SNP,,,,,,
ENSG00000204228,HSD17B8,-4.78998622320386,0.0001006063629385,Risk SNP,,,,,,
ENSG00000137310,TCF19,4.76715670140445,0.0001114345935876,Risk SNP,,,,,,
ENSG00000196236,XPNPEP3,4.76037373559387,0.0001139655876146,Risk SNP,4.6265,0.0003298041935483,Risk SNP,,,
ENSG00000112996,MRPS30,-4.73985503015299,0.0001247503559993,Risk SNP,-5.0639,6.25861666666667e-05,Risk SNP,,,
ENSG00000281831,HCP5B,-4.72537872026382,0.0001325193459968,Risk SNP,,,,,,
ENSG00000129691,ASH2L,4.71606437764909,0.0001372377016986,Risk SNP,,,,,,
ENSG00000109323,MANBA,4.67652859204947,0.0001647580245079,Risk SNP,,,,,,
ENSG00000242866,STRC,-4.64845836052996,0.0001833818019304,Other,,,,,,
ENSG00000235370,DNM1P51,4.64803167650283,0.0001833818019304,Risk SNP,1.99242,0.23414815498155,Risk SNP,,,
ENSG00000278662,GOLGA6L10,4.6502385409603,0.0001833818019304,Risk SNP,1.95308,0.247542755555556,Risk SNP,2.8278,0.0607561237785016,Risk SNP
ENSG00000159958,TNFRSF13C,-4.6308780502905,0.0001972183580582,Risk SNP,,,,,,
ENSG00000112659,CUL9,4.60573325472512,0.0002181667508192,Other,3.578078,0.0088634205607476,Other,,,
ENSG00000101452,DHX35,4.60607951849084,0.0002181667508192,Risk SNP,3.9641,0.0028057180555555,Risk SNP,4.24483,0.0012808279411764,Risk SNP
ENSG00000230521,HCG4P7,-4.59784111589935,0.000224350416797,Risk SNP,,,,,,
ENSG00000163931,TKT,4.57650474086116,0.0002436572978128,Risk SNP,4.92268,0.0001088750697674,Risk SNP,3.61637,0.0101974358974359,Risk SNP
ENSG00000150594,ADRA2A,-4.57849632516071,0.0002436572978128,Other,,,,,,
ENSG00000115649,CNPPD1,-4.54544681629075,0.0002797869167311,Other,-4.881402,0.0001210608333333,Other,-4.45487,0.0006833946938775,Other
ENSG00000205704,LINC00634,4.53127719800691,0.0002905847587506,Risk SNP,6.0694,5.39766153846154e-07,Risk SNP,4.8057,0.000174988,Risk SNP
ENSG00000167264,DUS2,4.53080739493285,0.0002905847587506,Risk SNP,2.54486,0.0990941956882255,Risk SNP,,,
ENSG00000066084,DIP2B,4.5294970711413,0.0002905847587506,Other,,,,3.99333,0.0030151209302325,Other
ENSG00000272462,ENSG00000272462,-4.53135485778261,0.0002905847587506,Risk SNP,,,,,,
ENSG00000186301,MST1P2,-4.51977962412602,0.000299603807479,Other,,,,,,
ENSG00000229391,HLA-DRB6,4.51915065364364,0.000299603807479,Risk SNP,,,,,,
ENSG00000159761,C16orf86,-4.4980589699241,0.000327932440339,Risk SNP,,,,,,
ENSG00000259775,ENSG00000259775,-4.48978809283269,0.0003335589761403,Risk SNP,,,,,,
ENSG00000079691,LRRC16A,-4.48876129998703,0.0003335589761403,Risk SNP,,,,,,
ENSG00000119242,CCDC92,4.49176371184597,0.0003335589761403,Other,,,,,,
ENSG00000273802,HIST1H2BG,-4.45313543409634,0.0003906011236017,Risk SNP,,,,,,
ENSG00000170571,EMB,4.42423178734704,0.0004428796774145,Risk SNP,5.2541,2.55255625e-05,Risk SNP,,,
ENSG00000114904,NEK4,4.42204323891159,0.0004435668020189,Risk SNP,5.5627,7.29106e-06,Risk SNP,4.70006,0.0002522,Risk SNP
ENSG00000131374,TBC1D5,-4.41773454726048,0.0004486645958005,Other,,,,,,
ENSG00000160161,CILP2,4.41078778302498,0.0004594106195752,Risk SNP,,,,,,
ENSG00000269896,ENSG00000269896,-4.40399876385763,0.0004700833296446,Risk SNP,,,,,,
ENSG00000161896,IP6K3,4.38788637599853,0.000502099691677,Risk SNP,,,,,,
ENSG00000100321,SYNGR1,-4.38122665302614,0.0005060739427149,Risk SNP,,,,,,
ENSG00000085721,RRN3,-4.38307659928483,0.0005060739427149,Other,-3.52541,0.0102153568281938,Other,-3.33821,0.0208121533742331,Other
ENSG00000196735,HLA-DQA1,4.38083798555051,0.0005060739427149,Risk SNP,,,,,,
ENSG00000164037,SLC9B1,-4.36226816240667,0.0005466006779513,Risk SNP,,,,-4.391481,0.0008629339622641,Risk SNP
ENSG00000109689,STIM2,4.3559410114946,0.0005581676180333,Other,2.88624,0.0519068599033816,Other,,,
ENSG00000006744,ELAC2,4.33802967610803,0.0006008729002286,Other,,,,,,
ENSG00000198053,SIRPA,-4.32552749151136,0.0006213107446506,Other,-3.3573,0.0162805056603774,Other,,,
ENSG00000272368,ENSG00000272368,4.32698893049323,0.0006213107446506,Other,3.78281,0.0048833908045977,Other,3.58605,0.0110435702479339,Other
ENSG00000171103,TRMT61B,-4.3257776114792,0.0006213107446506,Other,-3.306988,0.0180122857142857,Other,-3.66255,0.009379716981132,Other
ENSG00000142233,NTN5,4.31564543152008,0.0006448095180031,Other,,,,,,
ENSG00000196950,SLC39A10,4.30732506433185,0.0006644678506579,Other,,,,,,
ENSG00000263715,ENSG00000263715,-4.29195076638437,0.0007068429100849,Other,,,,,,
ENSG00000110881,ASIC1,4.28472412608317,0.0007247641421872,Other,,,,,,
ENSG00000130783,CCDC62,-4.28128260543686,0.0007306135523203,Risk SNP,,,,,,
ENSG00000228944,ENSG00000228944,4.26943627921754,0.0007648501053882,Risk SNP,,,,,,
ENSG00000176681,LRRC37A,-4.26617510156518,0.0007704454717526,Other,,,,,,
ENSG00000238083,LRRC37A2,-4.25025160756383,0.00081595620502,Other,,,,,,
ENSG00000160803,UBQLN4,-4.25010163871785,0.00081595620502,Other,,,,-1.88314,0.275757142857143,Other
ENSG00000174938,SEZ6L2,-4.20536664471036,0.0009882709169856,Risk SNP,,,,,,
ENSG00000157837,SPPL3,-4.17951508175459,0.0010997398488656,Other,,,,,,
ENSG00000158406,HIST1H4H,-4.17659784601821,0.0011060881100692,Risk SNP,,,,,,
ENSG00000243696,ENSG00000243696,-4.16974238485949,0.0011108971114327,Risk SNP,-4.19137,0.0013680306306306,Risk SNP,-4.37651,0.0008877232142857,Risk SNP
ENSG00000183172,SMDT1,4.17070308500648,0.0011108971114327,Risk SNP,,,,,,
ENSG00000266248,ENSG00000266248,-4.16928292129177,0.0011108971114327,Other,,,,-3.718557,0.0078370294117647,Other
ENSG00000091536,MYO15A,-4.17048840433769,0.0011108971114327,Risk SNP,0.27944,0.917391117785883,Risk SNP,-0.7165,0.758285599356396,Risk SNP
ENSG00000259554,ENSG00000259554,-4.16569952789032,0.0011208159997021,Risk SNP,,,,,,
ENSG00000158604,TMED4,-4.15619777499447,0.0011605430404978,Other,,,,,,
ENSG00000277075,HIST1H2AE,-4.14465860771124,0.0012123626531739,Risk SNP,,,,,,
ENSG00000108587,GOSR1,-4.13050651442626,0.0012723903023386,Other,-4.08413,0.0019699544715447,Other,,,
ENSG00000175175,PPM1E,4.131,0.0012723903023386,Other,,,,,,
ENSG00000268658,LINC00664,-4.12130277118802,0.0013156014834178,Other,-3.582381,0.0087918867924528,Other,-3.586445,0.0110435702479339,Other
ENSG00000100307,CBX7,-4.11375486528056,0.0013505037253264,Risk SNP,,,,,,
ENSG00000117222,RBBP5,4.10591532180862,0.001370270403714,Other,3.19,0.0243836593059937,Other,3.18162,0.0294742131979695,Other
ENSG00000177082,WDR73,4.10763148257062,0.001370270403714,Risk SNP,3.77726,0.0048968426966292,Risk SNP,3.1392,0.032786,Risk SNP
ENSG00000159210,SNF8,4.10632812986274,0.001370270403714,Other,,,,,,
ENSG00000113212,PCDHB7,4.09720847338431,0.0014048135516894,Other,2.0046,0.229692737430168,Other,,,
ENSG00000230532,ENSG00000230532,4.09806236960445,0.0014048135516894,Other,,,,3.4666,0.0150782661870504,Other
ENSG00000015676,NUDCD3,-4.09390276860206,0.0014160416827963,Other,,,,,,
ENSG00000273486,ENSG00000273486,-4.09023497041261,0.0014296314664566,Risk SNP,,,,-3.23379,0.0258081914893617,Risk SNP
ENSG00000163634,THOC7,-4.07829620820376,0.0014957002383689,Risk SNP,-6.55654,4.31511714285714e-08,Risk SNP,-6.10032,4.23008181818182e-07,Risk SNP
ENSG00000230313,HCG24,4.07649197035542,0.0014980432093983,Risk SNP,,,,,,
ENSG00000146250,PRSS35,4.06002301816198,0.0015978668628966,Risk SNP,,,,,,
ENSG00000010704,HFE,4.04768362921108,0.0016741884362323,Risk SNP,,,,,,
ENSG00000135930,EIF4E2,-4.04433882595326,0.0016879758496728,Risk SNP,,,,,,
ENSG00000178922,HYI,4.0242487024525,0.0018276623931319,Risk SNP,4.55,0.000433078,Risk SNP,4.40679,0.000818794117647,Risk SNP
ENSG00000132612,VPS4A,4.0101808355099,0.0019284333465617,Other,4.06592,0.0021132225806451,Other,4.50321,0.0005783941304347,Other
ENSG00000141098,GFOD2,-4.00134900550703,0.0019781685042691,Risk SNP,-4.8325,0.00013705,Risk SNP,,,
ENSG00000250091,DNAH10OS,4.00183096686039,0.0019781685042691,Other,,,,,,
ENSG00000231769,ENSG00000231769,-3.98828338752186,0.0020658715226664,Other,-3.075921,0.0332722543352601,Other,-2.8779,0.0558175438596491,Other
ENSG00000274750,HIST1H3E,-3.98960467295875,0.0020658715226664,Risk SNP,,,,,,
ENSG00000204267,TAP2,-3.98519473427616,0.0020807609231461,Risk SNP,,,,,,
ENSG00000159202,UBE2Z,3.97784956215336,0.0021336731620091,Other,4.19356,0.0013680306306306,Other,,,
ENSG00000224557,HLA-DPB2,3.97592355099737,0.0021386556179034,Risk SNP,,,,,,
ENSG00000088298,EDEM2,-3.95211738222072,0.0023495550905472,Other,-3.7351,0.0055406310160427,Other,-4.13906,0.0018756391891891,Other
ENSG00000104447,TRPS1,3.94435813529707,0.0024131496244196,Other,,,,,,
ENSG00000196510,ANAPC7,3.9352858838574,0.002491992655159,Risk SNP,,,,0.68496,0.771306451612903,Risk SNP
ENSG00000117593,DARS2,3.93348370579449,0.0024966540893871,Other,4.55,0.000433078,Other,5.08465,5.4205037037037e-05,Other
ENSG00000223774,ENSG00000223774,3.92472227121684,0.0025748205095972,Other,,,,,,
ENSG00000028116,VRK2,3.91903392861514,0.0026216978801682,Risk SNP,,,,,,
ENSG00000164182,NDUFAF2,3.91488753573672,0.0026524268584074,Risk SNP,,,,,,
ENSG00000239039,SNORD13,-3.90301781345684,0.0027555396554286,Other,,,,,,
ENSG00000163479,SSR2,-3.90305151260169,0.0027555396554286,Other,,,,,,
ENSG00000266497,ENSG00000266497,-3.89655393098433,0.00281471378116,Other,,,,,,
ENSG00000114988,LMAN2L,-3.89519325645557,0.002815261784103,Other,-4.164596,0.001513614159292,Other,,,
ENSG00000153107,ANAPC1,-3.88462291601357,0.0029247888293107,Other,,,,-1.21122,0.547049300060864,Other
ENSG00000120899,PTK2B,-3.88229766465689,0.0029371152435273,Risk SNP,,,,,,
ENSG00000172817,CYP7B1,-3.87085625688875,0.0030620872932906,Other,-3.7035,0.00608159375,Other,,,
ENSG00000140598,EFL1,-3.86428183641125,0.0031290946232776,Risk SNP,0.06993,0.980486547934824,Risk SNP,-0.7264,0.753536842105263,Risk SNP
ENSG00000263142,LRRC37A17P,3.861,0.0031547372610424,Other,,,,,,
ENSG00000237188,ENSG00000237188,3.85759001537894,0.0031823131087153,Other,,,,3.33496,0.0208121533742331,Other
ENSG00000186522,SEPT10,3.85393790842709,0.0032133604755587,Other,,,,2.87518,0.0559828571428572,Other
ENSG00000162384,C1orf123,3.85083270980593,0.0032208312231825,Other,2.62,0.0861881227436823,Other,2.95742,0.0472079007633588,Other
ENSG00000172687,ZNF738,3.85178872196217,0.0032208312231825,Other,4.47052,0.0005553194805194,Other,3.921903,0.0038842033333333,Other
ENSG00000262500,ENSG00000262500,-3.84800329441272,0.0032304324725486,Other,-3.40108,0.0145969126984127,Other,,,
ENSG00000108582,CPD,3.84759095596043,0.0032304324725486,Other,,,,,,
ENSG00000151773,CCDC122,-3.83581090353928,0.0033720801210585,Other,,,,,,
ENSG00000146648,EGFR,-3.82941106341375,0.0034435058497524,Other,,,,,,
ENSG00000263503,ENSG00000263503,-3.82813586177946,0.0034439979409598,Other,-3.34536,0.0165669264705882,Other,-3.4038,0.0177496979865772,Other
ENSG00000272335,ENSG00000272335,-3.82465194897706,0.0034755976905675,Risk SNP,,,,-5.12527,4.54295769230769e-05,Risk SNP
ENSG00000182628,SKA2,3.7710563655965,0.004292823786063,Other,,,,,,
ENSG00000140265,ZSCAN29,-3.76960720895935,0.0042964493066384,Other,,,,,,
ENSG00000214401,KANSL1-AS1,-3.75773440393218,0.0044832656275289,Other,-3.66093,0.0069846802030456,Other,-3.6369,0.0101974358974359,Other
ENSG00000157851,DPYSL5,3.75325907456128,0.0045380771332339,Other,4.251741,0.0011336563106796,Other,4.05124,0.0024991271604938,Other
ENSG00000137822,TUBGCP4,-3.75223529688264,0.0045380771332339,Other,,,,,,
ENSG00000204963,PCDHA7,3.74377100901568,0.0046710110650845,Other,,,,,,
ENSG00000138030,KHK,-3.74064561087052,0.0047066362287221,Other,-4.219644,0.0012654710280373,Other,-1.996,0.239245478374836,Other
ENSG00000282774,ENSG00000282774,-3.73604675027776,0.0047597785710306,Other,,,,,,
ENSG00000120071,KANSL1,-3.73540403606078,0.0047597785710306,Other,-3.26708,0.0199845484949833,Other,-3.3083,0.0220970591715976,Other
ENSG00000101104,PABPC1L,3.73116760884133,0.0048174993764008,Other,,,,,,
ENSG00000204652,RPS26P8,-3.72364087139542,0.0049399671233146,Other,,,,,,
ENSG00000225190,PLEKHM1,-3.7150613967811,0.0050865252365333,Other,,,,,,
ENSG00000124549,BTN2A3P,3.70351287763196,0.0052741275723851,Risk SNP,,,,,,
ENSG00000271551,ENSG00000271551,-3.70401140199195,0.0052741275723851,Other,-3.837208,0.0041449268292682,Other,,,
ENSG00000264589,MAPT-AS1,3.69820883232822,0.00533567593868,Other,,,,,,
ENSG00000167216,KATNAL2,-3.69935619799555,0.00533567593868,Other,-2.48906,0.109128460342146,Other,-2.86883,0.0560580546075085,Other
ENSG00000275784,ENSG00000275784,-3.69593350191541,0.0053588862191252,Other,-3.2937,0.0185157346938775,Other,,,
ENSG00000253893,FAM85B,-3.69265910346498,0.0054034810379576,Other,,,,,,
ENSG00000228696,ARL17B,-3.691,0.0054140179100631,Other,,,,,,
ENSG00000136144,RCBTB1,-3.67982110224793,0.0056312483377366,Other,,,,,,
ENSG00000231389,HLA-DPA1,3.67374886829677,0.0057407498556874,Risk SNP,,,,,,
ENSG00000142494,SLC47A1,3.66105430743381,0.0060056793417432,Other,,,,,,
ENSG00000106804,C5,3.6585828405669,0.0060097404800226,Other,2.4391,0.118682474226804,Other,,,
ENSG00000263753,LINC00667,3.65968152717943,0.0060097404800226,Other,,,,,,
ENSG00000117569,PTBP2,3.65186448831883,0.0061030052707441,Other,,,,,,
ENSG00000250616,ENSG00000250616,3.65121865902582,0.0061030052707441,Risk SNP,,,,,,
ENSG00000250120,PCDHA10,3.65315808691494,0.0061030052707441,Other,4.107,0.001816761983471,Other,2.69329,0.0773548351648352,Other
ENSG00000213699,SLC35F6,3.6474137168462,0.0061649199927783,Other,3.307605,0.0180122857142857,Other,4.36905,0.0008877232142857,Other
ENSG00000224043,CCNT2-AS1,-3.64637128411032,0.0061649199927783,Other,-3.120082,0.0295310119047619,Other,-3.08837,0.0356864732142857,Other
ENSG00000204650,CRHR1-IT1,-3.63714798118985,0.0063620664992021,Other,,,,,,
ENSG00000262246,CORO7,-3.6322187247845,0.0064567980040706,Other,-4.7083,0.0002404385964912,Other,-4.8726,0.0001286676470588,Other
ENSG00000135164,DMTF1,-3.62433332445258,0.0066283141726991,Risk SNP,,,,,,
ENSG00000175727,MLXIP,-3.6188953355882,0.0067400952083725,Other,,,,,,
ENSG00000180113,TDRD6,3.61008958213677,0.0069137552235878,Other,,,,,,
ENSG00000083535,PIBF1,3.6102856764727,0.0069137552235878,Other,,,,,,
ENSG00000270075,ENSG00000270075,3.60830496112332,0.0069319799851554,Other,,,,,,
ENSG00000186868,MAPT,3.60471870040096,0.0069987482820534,Other,,,,,,
ENSG00000261098,ENSG00000261098,-3.60184591630766,0.0070468301341454,Other,0.48875,0.848711914788209,Other,1.121126,0.584066143497758,Other
ENSG00000112667,DNPH1,3.59970732986609,0.007075309480345,Other,,,,,,
ENSG00000177683,THAP5,-3.59511346750277,0.0071713341064661,Other,,,,,,
ENSG00000248383,PCDHAC1,3.59122395934318,0.0072490244479295,Other,,,,,,
ENSG00000182858,ALG12,3.58576712498621,0.007371732367829,Other,,,,,,
ENSG00000234336,JAZF1-AS1,-3.58120899176443,0.0074222377399824,Other,-2.71201,0.073940685483871,Other,-2.0837,0.208961016949153,Other
ENSG00000171928,TVP23B,3.58076755523342,0.0074222377399824,Other,3.96215,0.0028090524137931,Other,3.1241,0.0330797196261682,Other
ENSG00000256751,PLBD1-AS1,-3.58228346445822,0.0074222377399824,Other,,,,,,
ENSG00000138182,KIF20B,3.57465872568123,0.0075668132960438,Other,,,,,,
ENSG00000136026,CKAP4,3.57209676819718,0.007610307404562,Other,,,,,,
ENSG00000121769,FABP3,-3.56597472147793,0.0077588045186689,Other,-3.51,0.0105386724137931,Other,-2.58635,0.0966839598997494,Other
ENSG00000141744,PNMT,-3.56340172394674,0.0078038213249219,Other,,,,,,
ENSG00000227258,SMIM2-AS1,3.56179823998497,0.0078202422921381,Other,,,,,,
ENSG00000226913,BSN-AS2,3.55557817728646,0.0079757199128598,Other,2.9379,0.0469885714285714,Other,,,
ENSG00000152404,CWF19L2,-3.5541873665616,0.0079862017965658,Other,-0.637,0.79199558864075,Other,,,
ENSG00000218510,LINC00339,-3.54728063087092,0.008162412724819,Other,-3.29,0.0185157346938775,Other,-3.24045,0.0255817837837838,Other
ENSG00000198954,KIF1BP,3.54636135630323,0.008162412724819,Other,3.9872,0.0025971460992907,Other,4.45431,0.0006833946938775,Other
