Dataset,Brain_Region,RIN_mean,RIN_sd,rRNA_mean,rRNA_sd,PercentAligned_mean,PercentAligned_sd
CMC,DLPFC,7.59586276488396,0.900231753178218,0.000282533189975782,0.000101640180613272,0.95662958675309,0.0318368388455322
GTEx,Amygdala,6.59491525423729,0.63561630671991,0.086791697515528,0.0372492112227007,0.959559366459627,0.100618141532149
GTEx,Anterior cingulate cortex,6.68356807511737,0.762668132601218,0.070203302160804,0.0340754411942161,0.970265738693467,0.108902869702856
GTEx,Caudate,7.39003436426117,0.878676708144534,0.066699175464684,0.0285800160021117,0.967305985130112,0.0920273866478404
GTEx,Cerebellar Hemisphere,7.45703422053232,1.00336169053367,0.0252432694285714,0.021787090856106,0.978134902040816,0.0643973779025829
GTEx,Cerebellum,6.85185185185185,0.78933234163155,0.0206086493090909,0.0121226670394026,0.98002548,0.0448261713544031
GTEx,Cortex,6.58830769230769,0.681129166950201,0.0485295819642857,0.0203128231316403,0.974802968928571,0.0981728084958235
GTEx,DLPFC,7.16864686468647,0.858020487132723,0.0529982858823529,0.0290199073296818,0.975065185520362,0.0753878312822613
GTEx,Hippocampus,6.76551724137931,0.75599805861954,0.0753012580373832,0.0338545094300232,0.958392864485981,0.122322092128872
GTEx,Hypothalamus,6.85508474576271,0.776308499505587,0.0647968269406393,0.0349955261182285,0.961330136986301,0.120401399714727
GTEx,Nucleus accumbens,7.14043321299639,0.84267334262522,0.0727958062015504,0.0348960369616867,0.97714173255814,0.0649678173182047
GTEx,Putamen,7.08577586206897,0.907456032934494,0.0763216964840183,0.0287356662124564,0.973971191780822,0.0804931365196461
GTEx,Spinal cord,7.06318681318681,0.733504987793515,0.0462548049707602,0.0281733141505716,0.966329403508772,0.113656659654602
GTEx,Substantia nigra,6.57865853658537,0.716310009651324,0.0775281766666667,0.0303910192311121,0.966722293333333,0.0859196055227708
LIBD,Caudate,7.83448275862069,0.867344045351456,5.75941399573667e-05,3.59907300171315e-05,0.863813839112341,0.0552667040987231
LIBD,DLPFC,7.77969094922737,0.966373977991055,5.02271607925016e-05,3.06043545837712e-05,0.887330737340889,0.0552142118590631
LIBD,Hippocampus,7.72348993288591,1.12080143861825,2.92971408936256e-05,2.62827327341269e-05,0.903744698257782,0.0440157357929936
