Celltype	Statistic	P_Value
Astro	18200	0.799958351472267
Endo	16115.5	0.0169878810338622
Micro	19901.5	0.197467395044717
Mural	16650	0.0655465116080924
Oligo	21621	0.004409936077258
OPC	20200.5	0.118880211744889
Tcell	16656	0.0676786607735445
Excit	20953	0.0249832194475429
Inhib	15990	0.0239716104930189
