"","MEblack","MEblue","MEbrown","MEcyan","MEdarkred","MEgreen","MEgreenyellow","MEgrey","MEgrey60","MElightcyan","MElightgreen","MElightyellow","MEmagenta","MEmidnightblue","MEpink","MEpurple","MEred","MEroyalblue","MEsalmon","MEtan","MEturquoise","MEyellow"
"R12864",-0.0812315541180872,0.0517599727298431,0.0471170921251378,0.0109346748369547,0.0410823357610718,-0.0598748667328433,-0.0353460840036785,0.00151201190507685,-0.0496873198425243,0.0212701795161888,0.025575050532169,-0.025111481611747,-0.0580542617107561,0.0423778527149838,-0.0601225430336727,-0.0568725476067678,-0.0021871170545583,0.0329538819119266,0.013919148110042,-0.0142372249897401,-0.0195520980016677,-0.0395158599614347
"R12865",0.100932021027715,0.00965465670660148,-0.0255093195153605,-0.0596056857156864,-0.0589646813291402,0.0374844238881945,0.0397333449385223,-0.00112480185076509,0.0546770573718572,-0.0482640266310168,-0.0582427889534105,0.0217916603892975,0.0315240165009241,-0.0321529423856017,0.105655447560071,0.0450726748015124,0.0490378888891533,0.0251218284238625,-0.062837109363336,-0.0557196914907928,-0.0320966641716746,0.0115060310465991
"R12866",0.000544540998936215,-0.0623662607079814,-0.0153789677663385,0.0270011320007565,-0.01012471982904,0.0488599827855335,-0.0542178822085661,-0.0267003714259645,-0.0309974514204873,0.0349303897076022,0.0504494525838363,0.0458425763969554,-0.0398291634957246,0.00207615818966098,-0.0296433412897596,-0.0106498787668116,-0.0689373458734396,-0.0152211939380748,0.0759797425325608,0.0657537780681535,0.0715005789905009,0.053862961035629
"R12867",-0.0512853950929077,-0.0916697527297663,-0.0201001606198384,-0.00947899693424911,-0.0478806017971846,0.0481357153692442,-0.00755247008007049,-0.043097317605526,-0.0855069073907619,0.0194167250800893,0.0871263143909318,-0.0470492726767272,0.00767956466786448,-0.0564146804500819,-0.0770283225996775,0.0391136175780872,-0.0622221139736162,-0.11564058137958,0.117006204879935,0.0592154081922447,0.108019487536237,0.0398830454062516
"R12868",-0.0404106927334927,-0.124111289266174,-0.0856633226055627,0.0936576161175225,0.00528324163122288,0.0436417917293854,0.0350610478036453,0.116066707515838,-0.0477354633620365,0.0208232618401321,0.0111827563729169,0.135851711106537,0.00767029239873017,-0.0385847639386147,-0.0971344905250566,0.0797581256922594,-0.115960553278641,0.0350168029155092,0.0299721701851716,0.111658541937879,0.0768484794830794,0.121648033067927
"R12869",0.00321598917188643,-0.113792976411592,-0.105687718706985,-0.0189529798811044,-0.0840626198602965,0.0781109117650524,0.0386784836029736,0.0316892065511211,0.0287045812880899,-0.0567183724901525,-0.00209636871346893,0.0323512005303298,0.0700515467417194,-0.097183358271967,-0.0467586049797692,0.0742815512305302,-0.0907118143758248,-0.0617320521669834,0.0669752089971728,0.0492083354671823,0.098702942331119,0.0956555440342527
"R12870",0.0203826703729769,0.0857300381530997,0.0131912982671553,-0.026430331892389,0.0316755827661786,-0.076487428693136,0.0728041541798252,0.0474331420747708,0.0914580707037596,-0.0562957799735205,-0.0765390180544994,-0.0336235075556171,0.0460385852562703,0.0210216421266835,0.063587632680937,0.106551502193662,0.0813143804341936,0.0480598239104823,-0.0933458987025662,-0.0821652361487964,-0.104155678168374,-0.0842071846696645
"R12871",0.0336993630226007,-0.00233143122447496,-0.0168796681071395,-0.0631068620215757,-0.0385179947308493,0.0627084692029471,-0.0174137707108107,-0.113697430752096,-0.0783715287333755,-0.0516939779973419,-0.0310069397788448,-0.0342144494122193,-0.0408020216184018,-0.0380283084447539,0.0417024708627044,0.0108200214250483,0.0371693406910544,-0.0330689400104515,0.00782868282434699,-0.0380561108972452,0.0413906337324953,0.016624640380086
"R12890",-0.0132324775799357,0.0250278119440672,0.010836128786318,0.00187188135326332,0.0169253833374368,-0.0249839177590641,0.0381718929127242,0.00707432913714912,0.0073228776822652,0.00173544253596991,-0.0104912815989203,-0.00279961858376642,0.0775508480220605,0.0157061539204328,0.0103930963439667,0.00926774054349383,0.0253967070148367,0.0171059787993652,-0.00478439233331299,-0.0139240993060923,-0.00837847213540091,-0.0117880689310559
"R12891",0.0630809604187973,0.0118626128551752,-0.0395660521706276,0.00956470889798585,0.0144907653629318,0.0344353873806003,0.0206607629916632,-3.3809084600267e-05,-0.00511053238902115,-0.0507517733773639,-0.0473068601534275,0.0419644203365848,0.038501072246643,-0.0201837794258852,0.0609879279220286,-0.0101500516826095,0.0110829913267886,0.0602688267770478,-0.0197050861216997,-0.00712952966748176,0.00440396025326501,0.0192228385663287
