gene_id	tissue
ENSG00000176165.10	Caudate
ENSG00000225349.2	Caudate
ENSG00000186462.8	Caudate
ENSG00000257185.1	Caudate
ENSG00000279573.1	Caudate
ENSG00000278876.1	Caudate
ENSG00000168280.16	Caudate
ENSG00000267346.1	Caudate
ENSG00000205981.6	Caudate
ENSG00000188566.12	Caudate
ENSG00000213190.3	Caudate
ENSG00000241343.9	Caudate
ENSG00000261574.1	Caudate
ENSG00000213865.7	Caudate
ENSG00000279766.1	Caudate
ENSG00000265043.1	Caudate
ENSG00000166170.9	Caudate
ENSG00000184304.14	Caudate
ENSG00000154370.14	Caudate
ENSG00000169682.17	Caudate
ENSG00000074319.12	Caudate
ENSG00000273597.1	Caudate
ENSG00000256973.1	Caudate
ENSG00000213790.2	Caudate
ENSG00000258957.1	Caudate
ENSG00000261291.1	Caudate
ENSG00000006116.3	Caudate
ENSG00000213062.4	Caudate
ENSG00000229622.1	Caudate
ENSG00000173546.7	Caudate
ENSG00000231496.1	Caudate
ENSG00000224631.4	Caudate
ENSG00000206448.3	Caudate
ENSG00000249493.1	Caudate
ENSG00000185220.11	Caudate
ENSG00000162227.7	Caudate
ENSG00000159212.12	Caudate
ENSG00000227598.1	Caudate
ENSG00000184574.9	Caudate
ENSG00000174886.12	Caudate
ENSG00000205213.13	Caudate
ENSG00000225479.1	Caudate
ENSG00000099203.6	Caudate
ENSG00000259377.1	Caudate
ENSG00000214903.4	Caudate
ENSG00000279948.1	Caudate
ENSG00000248221.1	Caudate
ENSG00000260018.1	Caudate
ENSG00000126945.8	Caudate
ENSG00000198324.13	Caudate
ENSG00000231738.10	Caudate
ENSG00000248546.3	Caudate
ENSG00000232036.2	Caudate
ENSG00000049769.12	Caudate
ENSG00000051180.16	Caudate
ENSG00000274093.1	Caudate
ENSG00000250397.2	Caudate
ENSG00000243364.7	Caudate
ENSG00000258920.1	Caudate
ENSG00000279649.1	Caudate
ENSG00000224707.1	Caudate
ENSG00000178896.7	Caudate
ENSG00000164076.16	Caudate
ENSG00000215057.4	Caudate
ENSG00000179420.11	Caudate
ENSG00000274292.1	Caudate
ENSG00000243155.1	Caudate
ENSG00000108821.13	Caudate
ENSG00000273557.1	Caudate
ENSG00000166225.8	Caudate
ENSG00000141582.14	Caudate
ENSG00000116251.9	Caudate
ENSG00000181524.6	Caudate
ENSG00000261187.1	Caudate
ENSG00000178177.15	Caudate
ENSG00000237280.1	Caudate
ENSG00000110711.9	Caudate
ENSG00000279576.1	Caudate
ENSG00000176731.11	Caudate
ENSG00000105697.7	Caudate
ENSG00000261596.2	Caudate
ENSG00000274964.1	Caudate
ENSG00000264176.1	Caudate
ENSG00000266962.2	Caudate
ENSG00000269210.2	Caudate
ENSG00000143507.17	Caudate
ENSG00000263307.1	Caudate
ENSG00000223416.3	Caudate
ENSG00000185129.5	Caudate
ENSG00000279283.1	Caudate
ENSG00000261624.1	Caudate
ENSG00000137522.17	Caudate
ENSG00000087903.12	Caudate
ENSG00000282915.1	Caudate
ENSG00000164244.20	Caudate
ENSG00000120051.14	Caudate
ENSG00000229587.2	Caudate
ENSG00000256571.1	Caudate
ENSG00000233644.1	Caudate
ENSG00000254017.1	Caudate
ENSG00000013297.10	Caudate
ENSG00000139915.18	Caudate
ENSG00000078668.13	Caudate
ENSG00000163625.15	Caudate
ENSG00000266208.1	Caudate
ENSG00000120533.12	Caudate
ENSG00000172409.5	Caudate
ENSG00000105993.14	Caudate
ENSG00000232311.1	Caudate
ENSG00000167701.13	Caudate
ENSG00000004975.11	Caudate
ENSG00000273792.1	Caudate
ENSG00000105204.13	Caudate
ENSG00000106330.11	Caudate
ENSG00000121486.11	Caudate
ENSG00000251468.2	Caudate
ENSG00000249240.2	Caudate
ENSG00000004766.15	Caudate
ENSG00000275092.1	Caudate
ENSG00000065029.14	Caudate
ENSG00000187479.5	Caudate
ENSG00000268027.5	Caudate
ENSG00000101844.17	Caudate
ENSG00000250889.2	Caudate
ENSG00000171189.17	Caudate
ENSG00000154640.14	Caudate
ENSG00000179085.7	Caudate
ENSG00000144227.4	Caudate
ENSG00000253878.5	Caudate
ENSG00000166619.12	Caudate
ENSG00000231125.2	Caudate
ENSG00000174948.5	Caudate
ENSG00000138356.13	Caudate
ENSG00000113361.12	Caudate
ENSG00000169933.12	Caudate
ENSG00000142751.14	Caudate
ENSG00000142327.11	Caudate
ENSG00000250410.1	Caudate
ENSG00000258584.1	Caudate
ENSG00000172575.11	Caudate
ENSG00000273350.1	Caudate
ENSG00000157168.18	Caudate
ENSG00000040608.13	Caudate
ENSG00000103460.16	Caudate
ENSG00000038358.14	Caudate
ENSG00000275557.1	Caudate
ENSG00000213250.5	Caudate
ENSG00000183199.6	Caudate
ENSG00000113368.11	Caudate
ENSG00000101438.3	Caudate
ENSG00000258377.1	Caudate
ENSG00000104327.7	Caudate
ENSG00000213942.3	Caudate
ENSG00000279527.1	Caudate
ENSG00000198673.10	Caudate
ENSG00000279781.1	Caudate
ENSG00000260954.1	Caudate
ENSG00000277440.1	Caudate
ENSG00000146066.2	Caudate
ENSG00000003147.17	Caudate
ENSG00000218596.2	Caudate
ENSG00000197057.8	Caudate
ENSG00000260971.3	Caudate
ENSG00000213465.7	Caudate
ENSG00000231842.1	Caudate
ENSG00000188277.9	Caudate
ENSG00000126107.14	Caudate
ENSG00000259767.1	Caudate
ENSG00000134853.11	Caudate
ENSG00000280406.1	Caudate
ENSG00000167771.5	Caudate
ENSG00000260452.1	Caudate
ENSG00000117419.14	Caudate
ENSG00000167447.12	Caudate
ENSG00000224533.4	Caudate
ENSG00000137970.7	Caudate
ENSG00000214465.3	Caudate
ENSG00000184916.8	Caudate
ENSG00000179833.4	Caudate
ENSG00000179262.9	Caudate
ENSG00000176635.17	Caudate
ENSG00000114353.16	Caudate
ENSG00000279880.1	Caudate
ENSG00000272886.5	Caudate
ENSG00000165209.18	Caudate
ENSG00000156860.15	Caudate
ENSG00000152193.7	Caudate
ENSG00000271200.1	Caudate
ENSG00000236496.2	Caudate
ENSG00000174327.6	Caudate
ENSG00000161594.6	Caudate
ENSG00000186376.14	Caudate
ENSG00000123612.15	Caudate
ENSG00000268231.1	Caudate
ENSG00000234617.1	Caudate
ENSG00000118513.18	Caudate
ENSG00000122641.10	Caudate
ENSG00000273149.1	Caudate
ENSG00000248121.8	Caudate
ENSG00000135486.17	Caudate
ENSG00000275485.1	Caudate
ENSG00000265356.2	Caudate
ENSG00000092051.16	Caudate
ENSG00000182973.18	Caudate
ENSG00000267778.1	Caudate
ENSG00000165061.14	Caudate
ENSG00000075914.12	Caudate
ENSG00000126947.12	Caudate
ENSG00000176444.18	Caudate
ENSG00000236886.2	Caudate
ENSG00000162813.17	Caudate
ENSG00000162236.11	Caudate
ENSG00000158445.9	Caudate
ENSG00000271009.2	Caudate
ENSG00000246528.3	Caudate
ENSG00000251192.7	Caudate
ENSG00000253476.1	Caudate
ENSG00000120149.8	Caudate
ENSG00000179091.4	Caudate
ENSG00000279829.1	Caudate
ENSG00000267298.1	Caudate
ENSG00000226758.1	Caudate
ENSG00000132781.17	Caudate
ENSG00000153162.8	Caudate
ENSG00000273183.1	Caudate
ENSG00000226056.1	Caudate
ENSG00000167244.18	Caudate
ENSG00000143479.15	Caudate
ENSG00000270557.1	Caudate
ENSG00000277039.1	Caudate
ENSG00000258539.1	Caudate
ENSG00000279752.1	Caudate
ENSG00000270069.1	Caudate
ENSG00000239570.1	Caudate
ENSG00000254639.1	Caudate
ENSG00000244363.3	Caudate
ENSG00000259554.1	Caudate
ENSG00000254783.1	Caudate
ENSG00000135940.6	Caudate
ENSG00000177736.4	Caudate
ENSG00000257835.1	Caudate
ENSG00000214077.4	Caudate
ENSG00000136997.15	Caudate
ENSG00000155849.15	Caudate
ENSG00000112245.9	Caudate
ENSG00000196497.15	Caudate
ENSG00000243986.2	Caudate
ENSG00000143228.12	Caudate
ENSG00000136738.14	Caudate
ENSG00000070087.13	Caudate
ENSG00000143553.10	Caudate
ENSG00000103253.17	Caudate
ENSG00000135637.13	Caudate
ENSG00000182899.14	Caudate
ENSG00000158290.16	Caudate
ENSG00000161914.9	Caudate
ENSG00000231515.1	Caudate
ENSG00000225991.1	Caudate
ENSG00000186517.13	Caudate
ENSG00000102554.13	Caudate
ENSG00000176994.10	Caudate
ENSG00000224822.1	Caudate
ENSG00000213997.3	Caudate
ENSG00000258337.1	Caudate
ENSG00000279613.1	Caudate
ENSG00000258777.1	Caudate
ENSG00000102898.11	Caudate
ENSG00000182700.4	Caudate
ENSG00000159753.13	Caudate
ENSG00000170190.15	Caudate
ENSG00000175564.12	Caudate
ENSG00000271789.1	Caudate
ENSG00000251557.2	Caudate
ENSG00000121644.18	Caudate
ENSG00000248228.1	Caudate
ENSG00000049540.16	Caudate
ENSG00000168539.3	Caudate
ENSG00000229715.4	Caudate
ENSG00000239268.2	Caudate
ENSG00000114395.10	Caudate
ENSG00000166181.12	Caudate
ENSG00000264895.1	Caudate
ENSG00000243370.3	Caudate
ENSG00000162735.18	Caudate
ENSG00000118985.15	Caudate
ENSG00000240265.1	Caudate
ENSG00000177432.6	Caudate
ENSG00000143171.12	Caudate
ENSG00000279013.1	Caudate
ENSG00000213033.4	Caudate
ENSG00000260417.1	Caudate
ENSG00000204850.4	Caudate
ENSG00000163462.17	Caudate
ENSG00000236801.1	Caudate
ENSG00000213189.5	Caudate
ENSG00000250506.6	Caudate
ENSG00000269653.1	Caudate
ENSG00000172995.16	Caudate
ENSG00000134243.11	Caudate
ENSG00000270076.1	Caudate
ENSG00000201581.1	Caudate
ENSG00000239280.1	Caudate
ENSG00000168282.5	Caudate
ENSG00000237738.1	Caudate
ENSG00000129654.7	Caudate
ENSG00000198910.12	Caudate
ENSG00000273249.1	Caudate
ENSG00000096070.19	Caudate
ENSG00000172425.10	Caudate
ENSG00000225673.3	Caudate
ENSG00000230177.1	Caudate
ENSG00000275835.4	Caudate
ENSG00000197696.9	Caudate
ENSG00000091009.7	DLPFC
ENSG00000197746.13	DLPFC
ENSG00000066455.12	DLPFC
ENSG00000213185.6	DLPFC
ENSG00000086015.20	DLPFC
ENSG00000197050.10	DLPFC
ENSG00000258101.2	DLPFC
ENSG00000234975.6	DLPFC
ENSG00000167476.10	DLPFC
ENSG00000141933.9	DLPFC
ENSG00000264112.1	DLPFC
ENSG00000235665.5	DLPFC
ENSG00000262119.1	DLPFC
ENSG00000224945.1	DLPFC
ENSG00000116747.12	DLPFC
ENSG00000226465.1	DLPFC
ENSG00000162552.14	DLPFC
ENSG00000164512.17	DLPFC
ENSG00000137574.10	DLPFC
ENSG00000140474.12	DLPFC
ENSG00000164542.12	DLPFC
ENSG00000255355.1	DLPFC
