gene_id	tissue
ENSG00000123144.10	DLPFC
ENSG00000152894.14	DLPFC
ENSG00000254579.1	DLPFC
ENSG00000279221.1	DLPFC
ENSG00000259780.3	DLPFC
ENSG00000158050.4	DLPFC
ENSG00000262902.1	DLPFC
ENSG00000266922.1	DLPFC
ENSG00000256674.1	DLPFC
ENSG00000090060.17	DLPFC
ENSG00000261067.6	DLPFC
ENSG00000197223.11	DLPFC
ENSG00000224982.3	DLPFC
ENSG00000231246.1	DLPFC
ENSG00000104967.6	DLPFC
ENSG00000112695.11	DLPFC
ENSG00000054118.13	DLPFC
ENSG00000200783.1	DLPFC
ENSG00000234841.4	DLPFC
ENSG00000278886.1	DLPFC
ENSG00000116514.16	DLPFC
ENSG00000005810.17	DLPFC
ENSG00000115234.10	DLPFC
ENSG00000178409.13	DLPFC
ENSG00000256211.1	DLPFC
ENSG00000175886.10	DLPFC
ENSG00000248729.1	DLPFC
ENSG00000259957.2	DLPFC
ENSG00000277258.4	DLPFC
ENSG00000163960.11	DLPFC
ENSG00000139517.7	DLPFC
ENSG00000173557.14	DLPFC
ENSG00000235078.1	DLPFC
ENSG00000259782.2	DLPFC
ENSG00000167522.14	DLPFC
ENSG00000134595.8	DLPFC
ENSG00000162613.16	DLPFC
ENSG00000134480.13	DLPFC
ENSG00000080493.14	DLPFC
ENSG00000213337.8	DLPFC
ENSG00000283078.1	DLPFC
ENSG00000196642.17	DLPFC
ENSG00000254272.1	DLPFC
ENSG00000197182.13	DLPFC
ENSG00000259290.1	DLPFC
ENSG00000143344.15	DLPFC
ENSG00000099985.3	DLPFC
ENSG00000271824.1	DLPFC
ENSG00000105223.19	DLPFC
ENSG00000276663.1	DLPFC
ENSG00000217612.2	DLPFC
ENSG00000204315.3	DLPFC
ENSG00000135047.14	DLPFC
ENSG00000116711.9	DLPFC
ENSG00000163026.11	DLPFC
ENSG00000131831.17	DLPFC
ENSG00000034510.5	DLPFC
ENSG00000148737.16	DLPFC
ENSG00000100354.20	DLPFC
ENSG00000099250.17	DLPFC
ENSG00000278979.1	DLPFC
ENSG00000134602.15	DLPFC
ENSG00000180340.6	DLPFC
ENSG00000180938.5	DLPFC
ENSG00000174482.10	DLPFC
ENSG00000197299.10	DLPFC
ENSG00000122741.15	DLPFC
ENSG00000228043.5	DLPFC
ENSG00000166862.6	DLPFC
ENSG00000158552.12	DLPFC
ENSG00000160097.15	DLPFC
ENSG00000106701.11	DLPFC
ENSG00000163888.3	DLPFC
ENSG00000123143.12	DLPFC
ENSG00000120690.14	DLPFC
ENSG00000186907.7	DLPFC
ENSG00000006128.11	DLPFC
ENSG00000176692.5	DLPFC
ENSG00000227911.3	DLPFC
ENSG00000269815.1	DLPFC
ENSG00000184270.4	DLPFC
ENSG00000163939.18	DLPFC
ENSG00000068724.15	DLPFC
ENSG00000133619.17	DLPFC
ENSG00000006638.11	DLPFC
ENSG00000132639.12	DLPFC
ENSG00000090020.10	DLPFC
ENSG00000233287.1	DLPFC
ENSG00000120903.12	DLPFC
ENSG00000164270.17	DLPFC
ENSG00000280173.1	DLPFC
ENSG00000233384.2	DLPFC
ENSG00000258561.1	DLPFC
ENSG00000183648.9	DLPFC
ENSG00000011347.9	DLPFC
ENSG00000275191.1	DLPFC
ENSG00000267747.1	DLPFC
ENSG00000270170.1	DLPFC
ENSG00000234883.4	DLPFC
ENSG00000103035.10	DLPFC
ENSG00000149932.16	DLPFC
ENSG00000239636.1	DLPFC
ENSG00000145494.11	DLPFC
ENSG00000262380.1	DLPFC
ENSG00000272308.1	DLPFC
ENSG00000145934.16	DLPFC
ENSG00000229544.8	DLPFC
ENSG00000183340.6	DLPFC
ENSG00000223930.5	DLPFC
ENSG00000268205.1	DLPFC
ENSG00000153234.13	DLPFC
ENSG00000223599.1	DLPFC
ENSG00000139990.17	DLPFC
ENSG00000051382.8	DLPFC
ENSG00000153922.10	DLPFC
ENSG00000229808.1	DLPFC
ENSG00000204655.11	DLPFC
ENSG00000198369.9	DLPFC
ENSG00000171631.14	DLPFC
ENSG00000107874.10	DLPFC
ENSG00000143624.13	DLPFC
ENSG00000112473.17	DLPFC
ENSG00000213376.4	DLPFC
ENSG00000120705.12	DLPFC
ENSG00000203737.3	DLPFC
ENSG00000170426.1	DLPFC
ENSG00000119777.18	DLPFC
ENSG00000267082.1	DLPFC
ENSG00000170473.16	DLPFC
ENSG00000236438.7	DLPFC
ENSG00000253137.1	DLPFC
ENSG00000252690.3	DLPFC
ENSG00000035928.14	DLPFC
ENSG00000165280.15	DLPFC
ENSG00000172586.7	DLPFC
ENSG00000135482.6	DLPFC
ENSG00000109118.13	DLPFC
ENSG00000242412.1	DLPFC
ENSG00000164128.6	DLPFC
ENSG00000259585.2	DLPFC
ENSG00000173786.16	DLPFC
ENSG00000127580.15	DLPFC
ENSG00000159377.10	DLPFC
ENSG00000116350.16	DLPFC
ENSG00000248394.1	DLPFC
ENSG00000149243.15	DLPFC
ENSG00000141905.17	DLPFC
ENSG00000196862.9	DLPFC
ENSG00000253438.2	DLPFC
ENSG00000063244.12	DLPFC
ENSG00000183496.5	DLPFC
ENSG00000257918.1	DLPFC
ENSG00000048828.16	DLPFC
ENSG00000272465.1	DLPFC
ENSG00000135655.14	DLPFC
ENSG00000111641.11	DLPFC
ENSG00000166342.18	DLPFC
ENSG00000091039.16	DLPFC
ENSG00000279771.1	DLPFC
ENSG00000255371.1	DLPFC
ENSG00000242419.5	DLPFC
ENSG00000167779.7	DLPFC
ENSG00000004059.10	DLPFC
ENSG00000226360.5	DLPFC
ENSG00000160051.11	DLPFC
ENSG00000182224.11	DLPFC
ENSG00000175768.12	DLPFC
ENSG00000186994.11	DLPFC
ENSG00000126821.7	DLPFC
ENSG00000005339.14	DLPFC
ENSG00000126653.16	DLPFC
ENSG00000280198.1	DLPFC
ENSG00000144029.11	DLPFC
ENSG00000197045.12	DLPFC
ENSG00000147421.17	DLPFC
ENSG00000267549.5	DLPFC
ENSG00000102003.10	DLPFC
ENSG00000233013.8	DLPFC
ENSG00000185504.16	DLPFC
ENSG00000274654.1	DLPFC
ENSG00000100324.13	DLPFC
ENSG00000130147.15	DLPFC
ENSG00000101333.16	DLPFC
ENSG00000174197.16	DLPFC
ENSG00000091656.15	DLPFC
ENSG00000169221.13	DLPFC
ENSG00000105246.5	DLPFC
ENSG00000070423.17	DLPFC
ENSG00000078043.15	DLPFC
ENSG00000249550.6	DLPFC
ENSG00000101336.12	DLPFC
ENSG00000143106.12	DLPFC
ENSG00000253948.1	DLPFC
ENSG00000234996.4	DLPFC
ENSG00000115226.9	DLPFC
ENSG00000134532.15	DLPFC
ENSG00000275111.4	DLPFC
ENSG00000138617.14	DLPFC
ENSG00000242299.1	DLPFC
ENSG00000102103.15	DLPFC
ENSG00000273447.1	DLPFC
ENSG00000224940.8	DLPFC
ENSG00000260260.1	DLPFC
ENSG00000125675.17	DLPFC
ENSG00000118508.4	DLPFC
ENSG00000178826.10	DLPFC
ENSG00000227295.2	DLPFC
ENSG00000230320.1	DLPFC
ENSG00000185774.14	DLPFC
ENSG00000256967.1	DLPFC
ENSG00000131931.8	DLPFC
ENSG00000168066.20	DLPFC
ENSG00000184786.5	DLPFC
ENSG00000229806.1	DLPFC
ENSG00000160055.19	DLPFC
ENSG00000171970.12	DLPFC
ENSG00000105865.10	DLPFC
ENSG00000279821.1	DLPFC
ENSG00000258565.1	DLPFC
ENSG00000125945.14	DLPFC
ENSG00000105784.15	DLPFC
ENSG00000173915.13	DLPFC
ENSG00000188760.10	DLPFC
ENSG00000175931.12	DLPFC
ENSG00000163297.16	DLPFC
ENSG00000275223.1	DLPFC
ENSG00000111676.14	DLPFC
ENSG00000254821.1	DLPFC
ENSG00000105122.12	DLPFC
ENSG00000241360.1	DLPFC
ENSG00000163104.17	DLPFC
ENSG00000137161.16	DLPFC
ENSG00000230207.1	DLPFC
ENSG00000072840.12	DLPFC
ENSG00000131149.18	DLPFC
ENSG00000261678.2	DLPFC
ENSG00000226781.1	DLPFC
ENSG00000186577.12	DLPFC
ENSG00000204427.11	DLPFC
ENSG00000154485.4	DLPFC
ENSG00000162734.12	DLPFC
ENSG00000176058.11	DLPFC
ENSG00000198816.6	DLPFC
ENSG00000272367.1	DLPFC
ENSG00000234028.3	DLPFC
ENSG00000169297.7	DLPFC
ENSG00000113739.10	DLPFC
ENSG00000266126.1	DLPFC
ENSG00000043093.13	DLPFC
ENSG00000213149.3	DLPFC
ENSG00000141279.15	DLPFC
ENSG00000178951.8	DLPFC
ENSG00000225421.2	DLPFC
ENSG00000153767.9	DLPFC
ENSG00000236269.1	DLPFC
ENSG00000160908.14	DLPFC
ENSG00000228485.1	DLPFC
ENSG00000111276.10	DLPFC
ENSG00000171720.9	DLPFC
ENSG00000118518.15	DLPFC
ENSG00000130758.7	DLPFC
ENSG00000180694.13	DLPFC
ENSG00000023330.14	DLPFC
ENSG00000274560.1	DLPFC
ENSG00000107954.10	DLPFC
ENSG00000110066.14	DLPFC
ENSG00000205940.8	DLPFC
ENSG00000267414.1	DLPFC
ENSG00000243836.5	DLPFC
ENSG00000196550.10	DLPFC
ENSG00000269924.1	DLPFC
ENSG00000187742.14	DLPFC
ENSG00000145147.19	DLPFC
ENSG00000162231.13	DLPFC
ENSG00000169271.2	DLPFC
ENSG00000135185.11	DLPFC
ENSG00000113712.16	DLPFC
ENSG00000270019.1	DLPFC
ENSG00000261587.2	DLPFC
ENSG00000156463.17	DLPFC
ENSG00000211450.9	DLPFC
ENSG00000180900.17	DLPFC
ENSG00000258477.1	DLPFC
ENSG00000111348.8	DLPFC
ENSG00000151014.5	DLPFC
ENSG00000182791.4	DLPFC
ENSG00000260865.1	DLPFC
ENSG00000158019.20	DLPFC
ENSG00000260160.1	DLPFC
ENSG00000279748.1	DLPFC
ENSG00000278916.1	DLPFC
ENSG00000133612.18	DLPFC
ENSG00000174145.7	DLPFC
ENSG00000143570.17	DLPFC
ENSG00000166813.14	DLPFC
ENSG00000159167.11	DLPFC
ENSG00000153902.13	DLPFC
ENSG00000248791.1	DLPFC
ENSG00000217783.2	DLPFC
ENSG00000105518.13	DLPFC
ENSG00000123560.13	DLPFC
ENSG00000179967.11	DLPFC
ENSG00000230551.4	DLPFC
ENSG00000261220.2	DLPFC
ENSG00000279739.1	DLPFC
ENSG00000085377.13	DLPFC
ENSG00000279555.1	DLPFC
ENSG00000013588.6	DLPFC
ENSG00000053438.8	DLPFC
ENSG00000139921.12	DLPFC
ENSG00000234797.5	DLPFC
ENSG00000223861.1	DLPFC
ENSG00000187678.8	DLPFC
ENSG00000228415.3	DLPFC
ENSG00000058404.19	DLPFC
ENSG00000117614.9	DLPFC
ENSG00000108309.12	DLPFC
ENSG00000133422.12	DLPFC
ENSG00000102078.15	DLPFC
ENSG00000145721.11	DLPFC
ENSG00000100311.16	DLPFC
ENSG00000177733.6	DLPFC
ENSG00000276166.1	DLPFC
ENSG00000242214.1	DLPFC
ENSG00000116649.9	DLPFC
ENSG00000231195.1	DLPFC
ENSG00000238085.1	DLPFC
ENSG00000176788.8	DLPFC
ENSG00000283652.1	DLPFC
ENSG00000066044.14	DLPFC
ENSG00000228889.6	DLPFC
ENSG00000096746.17	DLPFC
ENSG00000180929.5	DLPFC
ENSG00000213305.3	DLPFC
ENSG00000115241.10	DLPFC
ENSG00000176087.14	DLPFC
ENSG00000257923.9	DLPFC
ENSG00000185742.6	DLPFC
ENSG00000112739.16	DLPFC
ENSG00000128607.13	DLPFC
ENSG00000127995.16	DLPFC
ENSG00000214244.4	DLPFC
ENSG00000228175.3	DLPFC
ENSG00000160145.15	DLPFC
ENSG00000243147.7	DLPFC
ENSG00000263120.1	DLPFC
ENSG00000112137.17	DLPFC
ENSG00000136960.12	DLPFC
ENSG00000143379.12	DLPFC
ENSG00000166707.10	DLPFC
ENSG00000028277.21	DLPFC
ENSG00000024048.10	DLPFC
ENSG00000131724.10	DLPFC
ENSG00000130940.14	DLPFC
ENSG00000226636.1	DLPFC
ENSG00000116750.13	DLPFC
ENSG00000255302.4	DLPFC
ENSG00000270022.3	DLPFC
ENSG00000155463.12	DLPFC
ENSG00000130723.17	DLPFC
ENSG00000198406.7	DLPFC
ENSG00000103066.12	DLPFC
ENSG00000213793.4	DLPFC
ENSG00000258783.1	DLPFC
ENSG00000127585.11	DLPFC
ENSG00000119705.9	DLPFC
ENSG00000055118.14	DLPFC
ENSG00000066027.11	DLPFC
ENSG00000134115.12	DLPFC
ENSG00000124795.14	DLPFC
ENSG00000236567.2	DLPFC
ENSG00000115207.13	DLPFC
ENSG00000196507.10	DLPFC
ENSG00000115457.9	DLPFC
ENSG00000172232.9	DLPFC
ENSG00000160219.11	DLPFC
ENSG00000256351.1	DLPFC
ENSG00000237515.7	DLPFC
ENSG00000226853.2	DLPFC
ENSG00000117385.15	DLPFC
ENSG00000172465.13	DLPFC
ENSG00000119508.17	DLPFC
ENSG00000233639.5	DLPFC
ENSG00000242836.1	DLPFC
ENSG00000096080.11	DLPFC
ENSG00000170035.15	DLPFC
ENSG00000143373.17	DLPFC
ENSG00000249961.9	DLPFC
ENSG00000239922.1	DLPFC
ENSG00000173334.3	DLPFC
ENSG00000102119.10	DLPFC
ENSG00000280388.1	DLPFC
ENSG00000172974.11	DLPFC
ENSG00000214455.4	DLPFC
ENSG00000121753.12	DLPFC
ENSG00000250195.1	DLPFC
ENSG00000260723.1	DLPFC
ENSG00000267322.2	DLPFC
ENSG00000085978.21	DLPFC
ENSG00000224885.1	DLPFC
ENSG00000226310.1	DLPFC
ENSG00000162409.10	DLPFC
ENSG00000269952.1	DLPFC
ENSG00000277200.1	DLPFC
ENSG00000147036.11	DLPFC
ENSG00000281183.1	DLPFC
ENSG00000161642.17	DLPFC
ENSG00000111252.10	DLPFC
ENSG00000101347.8	DLPFC
ENSG00000137656.11	DLPFC
ENSG00000123353.9	DLPFC
ENSG00000184924.5	DLPFC
ENSG00000261783.1	DLPFC
ENSG00000179761.11	DLPFC
ENSG00000272343.1	DLPFC
ENSG00000171425.9	DLPFC
ENSG00000087152.15	DLPFC
ENSG00000254241.1	DLPFC
ENSG00000140350.15	DLPFC
ENSG00000279544.1	DLPFC
ENSG00000283529.1	DLPFC
ENSG00000268568.1	DLPFC
ENSG00000169057.20	DLPFC
ENSG00000217241.1	DLPFC
ENSG00000261634.3	DLPFC
ENSG00000229498.1	DLPFC
ENSG00000237606.2	DLPFC
ENSG00000198576.3	DLPFC
ENSG00000137207.11	DLPFC
ENSG00000130349.9	DLPFC
ENSG00000251143.1	DLPFC
ENSG00000152242.10	DLPFC
ENSG00000162105.17	DLPFC
ENSG00000106236.3	DLPFC
ENSG00000223928.1	DLPFC
ENSG00000181789.14	DLPFC
ENSG00000267571.1	DLPFC
ENSG00000130749.9	DLPFC
ENSG00000234911.1	DLPFC
ENSG00000167978.16	DLPFC
ENSG00000186472.19	DLPFC
ENSG00000115421.12	DLPFC
ENSG00000229932.3	DLPFC
ENSG00000154975.13	DLPFC
ENSG00000162430.16	DLPFC
ENSG00000205138.3	DLPFC
ENSG00000187244.10	DLPFC
ENSG00000279803.1	DLPFC
ENSG00000198862.13	DLPFC
ENSG00000172650.13	DLPFC
ENSG00000235183.3	DLPFC
ENSG00000100625.8	DLPFC
ENSG00000102038.15	DLPFC
ENSG00000166289.5	DLPFC
ENSG00000137776.16	DLPFC
ENSG00000127774.6	DLPFC
ENSG00000198455.4	DLPFC
ENSG00000018189.12	DLPFC
ENSG00000275673.1	DLPFC
ENSG00000169291.9	DLPFC
ENSG00000236204.5	DLPFC
ENSG00000162981.13	DLPFC
ENSG00000153179.12	DLPFC
ENSG00000061337.15	DLPFC
ENSG00000072195.14	DLPFC
ENSG00000267940.1	DLPFC
ENSG00000269293.2	DLPFC
ENSG00000113763.10	DLPFC
ENSG00000138741.10	DLPFC
ENSG00000277247.1	DLPFC
ENSG00000177606.6	DLPFC
ENSG00000149781.12	DLPFC
ENSG00000142279.12	DLPFC
ENSG00000174243.9	DLPFC
ENSG00000268350.7	DLPFC
ENSG00000272610.1	DLPFC
ENSG00000112773.15	DLPFC
ENSG00000224775.2	DLPFC
ENSG00000259347.6	DLPFC
ENSG00000177370.4	DLPFC
ENSG00000186297.11	DLPFC
ENSG00000122707.11	DLPFC
ENSG00000277423.1	DLPFC
ENSG00000127415.12	DLPFC
ENSG00000135387.20	DLPFC
ENSG00000231856.2	DLPFC
ENSG00000104435.13	DLPFC
ENSG00000156853.12	DLPFC
ENSG00000008056.12	DLPFC
ENSG00000142186.16	DLPFC
ENSG00000187902.11	DLPFC
ENSG00000111799.20	DLPFC
ENSG00000162298.17	DLPFC
ENSG00000164151.11	DLPFC
ENSG00000152229.18	DLPFC
ENSG00000247809.7	DLPFC
ENSG00000233230.1	DLPFC
ENSG00000133392.17	DLPFC
ENSG00000119318.12	DLPFC
ENSG00000085276.17	DLPFC
ENSG00000216977.1	DLPFC
ENSG00000267430.1	DLPFC
ENSG00000142552.7	DLPFC
ENSG00000197122.11	DLPFC
ENSG00000162385.10	DLPFC
