gene_id,gene_name
ENSG00000207389.1,RNU1-4
ENSG00000207005.1,RNU1-2
ENSG00000252947.1,SCARNA1
ENSG00000200087.1,SNORA73B
ENSG00000277918.1,U1
ENSG00000273768.1,U1
ENSG00000239899.3,RN7SL674P
ENSG00000200488.1,RN7SKP203
ENSG00000208772.1,SNORD94
ENSG00000212283.1,SNORD89
ENSG00000206965.1,RNU6-5P
ENSG00000252010.1,SCARNA5
ENSG00000251791.1,SCARNA6
ENSG00000263740.2,RN7SL4P
ENSG00000207088.1,SNORA7B
ENSG00000238741.1,SCARNA7
ENSG00000201229.1,SNORA63
ENSG00000243449.6,C4orf48
ENSG00000207524.1,RNU6-33P
ENSG00000238961.1,SNORA47
ENSG00000201955.1,RNY3P1
ENSG00000252213.1,SNORA74
ENSG00000200959.1,SNORA74A
ENSG00000212402.1,SNORA74B
ENSG00000201185.1,RNA5SP202
ENSG00000263426.2,RN7SL471P
ENSG00000200816.1,SNORA38
ENSG00000207392.1,SNORA20
ENSG00000206838.1,SNORA5A
ENSG00000207344.1,SNORA22
ENSG00000206634.1,SNORA22
ENSG00000266019.1,MIR3609
ENSG00000202354.1,RNY3
ENSG00000201098.1,RNY1
ENSG00000239039.1,SNORD13
ENSG00000265735.2,RN7SL5P
ENSG00000221676.1,RNU6ATAC
ENSG00000212464.1,SNORA12
ENSG00000207008.1,SNORA54
ENSG00000201998.1,SNORA23
ENSG00000212135.1,SNORD67
ENSG00000251562.7,MALAT1
ENSG00000207445.1,SNORD15B
ENSG00000207142.1,Y_RNA
ENSG00000212443.1,SNORA53
ENSG00000201428.1,RN7SKP71
ENSG00000202538.1,RNU4-2
ENSG00000200795.1,RNU4-1
ENSG00000208892.1,SNORA49
ENSG00000222489.1,SNORA79
ENSG00000199436.1,SNORD9
ENSG00000200785.1,SNORD8
ENSG00000202337.1,RNU6-8
ENSG00000206596.1,RNU1-27P
ENSG00000278771.1,Metazoa_SRP
ENSG00000274012.1,RN7SL2
ENSG00000200312.1,RN7SKP255
ENSG00000252481.1,SCARNA13
ENSG00000199568.1,RNU5A-1
ENSG00000200156.1,RNU5B-1
ENSG00000263934.4,SNORD3A
ENSG00000264940.4,SNORD3C
ENSG00000200394.1,SNORA38B
ENSG00000207233.1,SNORA37
ENSG00000200494.1,Y_RNA
ENSG00000212232.1,SNORD17
ENSG00000225091.3,SNORA71A
ENSG00000200354.1,SNORA71D
ENSG00000230043.1,TMSB4XP6
ENSG00000200792.1,SNORA80A
ENSG00000202058.1,RN7SKP80
ENSG00000271907.1,SNORA35
ENSG00000207175.1,RNU1-67P
ENSG00000281508.1,CDR1-AS
ENSG00000207041.1,RNU6-3P
ENSG00000211459.2,MT-RNR1
ENSG00000210082.2,MT-RNR2
ENSG00000198888.2,MT-ND1
ENSG00000210100.1,MT-TI
ENSG00000198763.3,MT-ND2
ENSG00000210117.1,MT-TW
ENSG00000198804.2,MT-CO1
ENSG00000198712.1,MT-CO2
ENSG00000228253.1,MT-ATP8
ENSG00000198899.2,MT-ATP6
ENSG00000198938.2,MT-CO3
ENSG00000198840.2,MT-ND3
ENSG00000212907.2,MT-ND4L
ENSG00000198886.2,MT-ND4
ENSG00000198786.2,MT-ND5
ENSG00000198727.2,MT-CYB
ENSG00000210195.2,MT-TT
ENSG00000210196.2,MT-TP
