gene_id,gene_name
ENSG00000269981.1,RP11-34P13.16
ENSG00000225972.1,MTND1P23
ENSG00000187961.13,KLHL17
ENSG00000162576.16,MXRA8
ENSG00000225285.1,RP4-758J18.10
ENSG00000197921.5,HES5
ENSG00000157873.17,TNFRSF14
ENSG00000142611.16,PRDM16
ENSG00000171608.15,PIK3CD
ENSG00000116663.10,FBXO6
ENSG00000028137.17,TNFRSF1B
ENSG00000162496.8,DHRS3
ENSG00000272482.1,RP11-474O21.5
ENSG00000162493.16,PDPN
ENSG00000171729.13,TMEM51
ENSG00000142634.12,EFHD2
ENSG00000183888.4,C1orf64
ENSG00000185519.8,FAM131C
ENSG00000142627.12,EPHA2
ENSG00000233929.1,MT1XP1
ENSG00000117154.11,IGSF21
ENSG00000169991.10,IFFO2
ENSG00000162482.4,AKR7A3
ENSG00000162542.13,TMCO4
ENSG00000127472.10,PLA2G5
ENSG00000117242.7,PINK1-AS
ENSG00000187952.9,HS6ST1P1
ENSG00000162551.13,ALPL
ENSG00000142798.17,HSPG2
ENSG00000204219.9,TCEA3
ENSG00000088280.18,ASAP3
ENSG00000185436.11,IFNLR1
ENSG00000117643.14,MAN1C1
ENSG00000142733.14,MAP3K6
ENSG00000000938.12,FGR
ENSG00000158156.7,XKR8
ENSG00000242125.3,SNHG3
ENSG00000060656.19,PTPRU
ENSG00000142910.15,TINAGL1
ENSG00000121900.18,TMEM54
ENSG00000187513.8,GJA4
ENSG00000142694.6,EVA1B
ENSG00000163874.9,ZC3H12A
ENSG00000183386.9,FHL3
ENSG00000183682.7,BMP8A
ENSG00000163909.7,HEYL
ENSG00000168389.17,MFSD2A
ENSG00000179862.6,CITED4
ENSG00000066185.12,ZMYND12
ENSG00000066056.13,TIE1
ENSG00000159214.12,CCDC24
ENSG00000173846.12,PLK3
ENSG00000222009.8,BTBD19
ENSG00000186603.5,HPDL
ENSG00000280670.2,CCDC163P
ENSG00000117461.14,PIK3R3
ENSG00000142961.14,MOB3C
ENSG00000174348.13,PODN
ENSG00000157184.6,CPT2
ENSG00000162390.17,ACOT11
ENSG00000185839.3,RP4-592A1.2
ENSG00000231252.2,RP11-436K8.1
ENSG00000116678.18,LEPR
ENSG00000237919.5,RP11-181B18.1
ENSG00000116761.11,CTH
ENSG00000162618.12,ADGRL4
ENSG00000142867.12,BCL10
ENSG00000142871.16,CYR61
ENSG00000117226.11,GBP3
ENSG00000117228.9,GBP1
ENSG00000162645.12,GBP2
ENSG00000162654.8,GBP4
ENSG00000225492.6,GBP1P1
ENSG00000232882.1,PHKA1P1
ENSG00000162669.15,HFM1
ENSG00000069702.10,TGFBR3
ENSG00000137936.16,BCAR3
ENSG00000137962.12,ARHGAP29
ENSG00000143036.16,SLC44A3
ENSG00000099260.10,PALMD
ENSG00000079335.18,CDC14A
ENSG00000225938.1,RP4-575N6.4
ENSG00000065135.9,GNAI3
ENSG00000134201.10,GSTM5
ENSG00000168679.17,SLC16A4
ENSG00000064886.13,CHI3L2
ENSG00000143110.11,C1orf162
ENSG00000231246.1,RP5-965F6.2
ENSG00000155366.16,RHOC
ENSG00000081026.18,MAGI3
ENSG00000134247.9,PTGFRN
