gene_id,gene_name
ENSG00000268903.1,RP11-34P13.15
ENSG00000260179.1,RP5-902P8.12
ENSG00000182873.5,RP11-181G12.2
ENSG00000215912.12,TTC34
ENSG00000279839.1,RP11-193J6.1
ENSG00000162591.15,MEGF6
ENSG00000180758.11,GPR157
ENSG00000223989.1,RP11-84A14.5
ENSG00000130940.14,CASZ1
ENSG00000221340.1,RNU6ATAC18P
ENSG00000162458.12,FBLIM1
ENSG00000173641.17,HSPB7
ENSG00000232456.1,RP11-5P18.10
ENSG00000142632.16,ARHGEF19
ENSG00000225986.1,UBXN10-AS1
ENSG00000158825.5,CDA
ENSG00000158055.15,GRHL3
ENSG00000272432.1,RP3-465N24.6
ENSG00000197245.5,FAM110D
ENSG00000274978.1,RNU11
ENSG00000134668.12,SPOCD1
ENSG00000092853.13,CLSPN
ENSG00000171812.11,COL8A2
ENSG00000275350.1,RP11-329N22.2
ENSG00000225333.6,RP1-144F13.4
ENSG00000228192.7,RP11-342M1.3
ENSG00000266993.3,RP4-657D16.3
ENSG00000184313.19,MROH7
ENSG00000143001.4,TMEM61
ENSG00000232453.6,RP4-794H19.1
ENSG00000122420.9,PTGFR
ENSG00000238015.2,RP4-641G12.3
ENSG00000282057.1,RP4-621F18.2
ENSG00000239794.3,RN7SL653P
ENSG00000224081.8,LINC01057
ENSG00000263526.1,MIR378G
ENSG00000156869.12,FRRS1
ENSG00000143028.8,SYPL2
ENSG00000258673.1,LINC01397
ENSG00000116396.14,KCNC4
ENSG00000162777.16,DENND2D
ENSG00000155367.15,PPM1J
ENSG00000183508.4,FAM46C
ENSG00000092607.13,TBX15
ENSG00000162825.16,NBPF20
ENSG00000278431.1,CH17-270A2.1
ENSG00000271425.6,NBPF10
ENSG00000264343.5,NOTCH2NL
ENSG00000276509.1,CH17-353B19.1
ENSG00000131781.12,FMO5
ENSG00000252135.1,RNVU1-2
ENSG00000225871.2,RP11-495P10.10
ENSG00000272196.2,HIST2H2AA4
ENSG00000270276.2,HIST2H4B
ENSG00000143382.14,ADAMTSL4
ENSG00000232671.5,RP11-126K1.2
ENSG00000188015.9,S100A3
ENSG00000169418.9,NPR1
ENSG00000228013.1,RP11-350G8.5
ENSG00000163239.12,TDRD10
ENSG00000268154.2,Metazoa_SRP
ENSG00000185499.16,MUC1
ENSG00000272068.1,RP11-284F21.9
ENSG00000272405.1,RP11-284F21.10
ENSG00000226520.1,KIRREL-IT1
ENSG00000225279.1,RP11-536C5.2
ENSG00000244682.7,FCGR2C
ENSG00000162747.9,FCGR3B
ENSG00000162746.14,FCRLB
ENSG00000162745.10,OLFML2B
ENSG00000272574.1,RP11-359K18.4
ENSG00000007908.15,SELE
ENSG00000271811.1,RP1-79C4.4
ENSG00000135842.16,FAM129A
ENSG00000143341.11,HMCN1
ENSG00000163362.10,C1orf106
ENSG00000228288.6,PCAT6
ENSG00000133055.8,MYBPH
ENSG00000163545.8,NUAK2
ENSG00000117724.12,CENPF
ENSG00000232480.1,TGFB2-AS1
ENSG00000187554.11,TLR5
ENSG00000236773.1,RP11-365O16.1
ENSG00000223393.1,RP5-858B6.3
ENSG00000229291.1,RP4-580N22.2
ENSG00000273058.2,RP11-385F5.5
ENSG00000184731.5,FAM110C
ENSG00000235688.2,AC116614.1
ENSG00000130508.10,PXDN
ENSG00000118004.17,COLEC11
ENSG00000260077.1,RP11-254F7.2
ENSG00000257135.5,RP11-320M2.1
ENSG00000225649.5,AC064875.2
ENSG00000132031.12,MATN3
ENSG00000115884.10,SDC1
ENSG00000271936.1,RP11-443B20.1
ENSG00000218682.1,AC010150.1
ENSG00000143994.13,ABHD1
ENSG00000091106.18,NLRC4
ENSG00000162882.14,HAAO
ENSG00000231826.5,AC016735.2
ENSG00000207087.1,RNU6-242P
ENSG00000231336.1,AC017006.3
ENSG00000243244.5,STON1
ENSG00000240401.8,AC012358.8
ENSG00000231609.5,AC009501.4
ENSG00000214533.3,KRT18P33
ENSG00000278060.1,RP11-466M21.1
ENSG00000272711.1,RP11-259N19.1
ENSG00000186854.10,TRABD2A
ENSG00000152284.4,TCF7L1
ENSG00000115523.16,GNLY
ENSG00000229604.2,MTATP8P2
ENSG00000211592.8,IGKC
ENSG00000235734.4,HMGN1P36
ENSG00000115604.10,IL18R1
ENSG00000183054.11,RGPD6
ENSG00000115008.5,IL1A
ENSG00000074047.21,GLI2
ENSG00000233221.6,AC133785.1
ENSG00000226340.1,AC105402.3
ENSG00000115165.9,CYTIP
ENSG00000224331.2,AC019181.3
ENSG00000233255.1,AC019181.2
ENSG00000236283.3,AC013463.2
ENSG00000115844.10,DLX2
ENSG00000225205.5,AC093818.1
ENSG00000232568.2,RPL23AP35
ENSG00000003436.14,TFPI
ENSG00000227542.1,AC092614.2
ENSG00000173559.12,NABP1
ENSG00000203435.2,E2F3P2
ENSG00000227878.2,AC114760.1
ENSG00000064012.21,CASP8
ENSG00000273209.1,RP11-107N15.1
ENSG00000115361.7,ACADL
ENSG00000273118.1,AC079610.1
ENSG00000229267.2,AC072062.1
ENSG00000230695.1,AC012462.1
ENSG00000180871.7,CXCR2
ENSG00000175084.11,DES
ENSG00000268603.1,RP11-316O14.1
ENSG00000124003.12,MOGAT1
ENSG00000135899.16,SP110
ENSG00000185404.16,SP140L
ENSG00000243650.3,RN7SL834P
ENSG00000235151.1,AC114730.2
ENSG00000071282.11,LMCD1
ENSG00000206567.9,AC022007.5
ENSG00000196639.6,HRH1
ENSG00000283563.1,RP11-9J18.1
ENSG00000226216.1,RPS12P5
ENSG00000153551.13,CMTM7
ENSG00000271020.1,RP11-10C24.1
ENSG00000272334.1,RP11-129K12.1
ENSG00000270194.1,RP11-259K5.2
ENSG00000168356.11,SCN11A
ENSG00000252409.1,SCARNA21
ENSG00000144648.15,ACKR2
ENSG00000273291.5,RP11-136C24.3
ENSG00000163817.15,SLC6A20
ENSG00000160791.13,CCR5
ENSG00000121797.9,CCRL2
ENSG00000178038.16,ALS2CL
ENSG00000164045.11,CDC25A
ENSG00000244380.1,RP11-24C3.2
ENSG00000272434.1,RP13-131K19.6
ENSG00000114737.15,CISH
ENSG00000273356.1,RP11-804H8.6
ENSG00000114251.13,WNT5A
ENSG00000239801.1,DENND6A-AS1
ENSG00000272360.1,RP11-359I18.5
ENSG00000243384.1,RP11-475O23.2
ENSG00000241684.5,ADAMTS9-AS2
ENSG00000163421.8,PROK2
ENSG00000279349.1,RP11-147G7.3
ENSG00000241155.1,ARHGAP31-AS1
ENSG00000144843.11,ADPRH
ENSG00000175697.10,GPR156
ENSG00000243544.3,RN7SL172P
ENSG00000222057.1,RNU4-62P
ENSG00000241439.1,RP11-666A20.3
ENSG00000179348.11,GATA2
ENSG00000244300.2,GATA2-AS1
ENSG00000246082.2,NUDT16P1
ENSG00000014257.15,ACPP
ENSG00000279320.1,RP11-329N15.3
ENSG00000243620.1,RP11-649A16.1
ENSG00000163661.3,PTX3
ENSG00000242795.2,RP11-3K16.2
ENSG00000269889.1,RP11-816J6.3
ENSG00000239739.1,RP11-373E16.4
ENSG00000237978.5,KCNMB2-AS1
ENSG00000171121.16,KCNMB3
ENSG00000273261.1,RP11-531F16.4
ENSG00000172578.11,KLHL6
ENSG00000090534.17,THPO
ENSG00000232233.1,RP11-573D15.2
ENSG00000136514.2,RTP4
ENSG00000223401.2,RP11-211G3.2
ENSG00000279891.1,FLJ42393
ENSG00000187527.10,ATP13A5
ENSG00000225473.1,ATP13A4-AS1
ENSG00000233058.1,LINC00884
ENSG00000226008.1,SEPT14P3
ENSG00000145217.13,SLC26A1
ENSG00000013810.18,TACC3
ENSG00000206113.9,CFAP99
ENSG00000109667.11,SLC2A9
ENSG00000223086.1,RNA5SP155
ENSG00000137441.7,FGFBP2
ENSG00000201863.1,SNORA51
