gene_id,gene_name
chr11:113412884-113415420(-),
ENSG00000229344.1,MTCO2P12
ENSG00000188290.10,HES4
ENSG00000205090.8,TMEM240
ENSG00000228594.3,FNDC10
ENSG00000215790.6,SLC35E2
ENSG00000196581.10,AJAP1
ENSG00000116254.17,CHD5
ENSG00000097021.19,ACOT7
ENSG00000241563.3,CORT
ENSG00000158748.3,HTR6
ENSG00000169914.5,OTUD3
ENSG00000117245.12,KIF17
ENSG00000189410.11,SH2D5
ENSG00000169641.13,LUZP1
ENSG00000179546.4,HTR1D
ENSG00000011009.10,LYPLA2
ENSG00000158008.9,EXTL1
ENSG00000090020.10,SLC9A1
ENSG00000116329.10,OPRD1
ENSG00000159023.19,EPB41
ENSG00000183317.16,EPHA10
ENSG00000185090.14,MANEAL
ENSG00000185668.7,POU3F1
ENSG00000224592.5,RP5-884C9.2
ENSG00000187801.14,ZFP69B
ENSG00000260920.2,RP1-228H13.5
ENSG00000186377.7,CYP4X1
ENSG00000085831.15,TTC39A
ENSG00000169213.6,RAB3B
ENSG00000162409.10,PRKAA2
ENSG00000134709.10,HOOK1
ENSG00000162595.5,DIRAS3
ENSG00000178965.13,ERICH3
ENSG00000117069.14,ST6GALNAC5
ENSG00000230498.1,RP4-564M11.2
ENSG00000117598.11,PLPPR5
ENSG00000134215.15,VAV3
ENSG00000162636.15,FAM102B
ENSG00000116299.16,KIAA1324
ENSG00000181754.6,AMIGO1
ENSG00000156097.12,GPR61
ENSG00000197106.6,SLC6A17
ENSG00000259834.1,RP11-284N8.3
ENSG00000231437.3,RP11-88H9.2
ENSG00000134245.17,WNT2B
ENSG00000134207.14,SYT6
ENSG00000134198.9,TSPAN2
ENSG00000143061.17,IGSF3
ENSG00000277702.1,CH17-13I23.3
ENSG00000272031.2,ANKRD34A
ENSG00000159164.9,SV2A
ENSG00000160716.5,CHRNB2
ENSG00000163462.17,TRIM46
ENSG00000143320.8,CRABP2
ENSG00000143171.12,RXRG
ENSG00000116191.17,RALGPS2
ENSG00000272880.1,RP11-33M22.2
ENSG00000116741.7,RGS2
ENSG00000143851.15,PTPN7
ENSG00000143858.11,SYT2
ENSG00000143847.15,PPFIA4
ENSG00000143845.14,ETNK2
ENSG00000174567.7,GOLT1A
ENSG00000170382.11,LRRN2
ENSG00000263528.7,IKBKE
ENSG00000082497.11,SERTAD4
ENSG00000143473.11,KCNH1
ENSG00000143502.14,SUSD4
ENSG00000162913.9,C1orf145
ENSG00000154358.20,OBSCN
ENSG00000162931.11,TRIM17
ENSG00000201321.1,RNA5S9
ENSG00000177614.10,PGBD5
ENSG00000183780.12,SLC35F3
ENSG00000168243.10,GNG4
ENSG00000133019.11,CHRM3
ENSG00000180875.4,GREM2
ENSG00000054277.13,OPN3
ENSG00000259823.5,LYPD8
ENSG00000271947.1,RP11-439M11.1
ENSG00000228203.6,RNF144A-AS1
ENSG00000260837.1,RP11-434B12.1
ENSG00000162975.4,KCNF1
ENSG00000119771.14,KLHL29
ENSG00000115155.16,OTOF
ENSG00000138028.14,CGREF1
ENSG00000171126.7,KCNG3
ENSG00000138083.4,SIX3
ENSG00000171132.13,PRKCE
ENSG00000119866.20,BCL11A
ENSG00000135625.7,EGR4
ENSG00000115353.10,TACR1
ENSG00000176204.13,LRRTM4
ENSG00000162951.10,LRRTM1
ENSG00000158050.4,DUSP2
ENSG00000144218.18,AFF3
ENSG00000170485.16,NPAS2
ENSG00000135973.2,GPR45
ENSG00000115665.8,SLC5A7
ENSG00000172985.10,SH3RF3
ENSG00000175772.10,LINC01106
ENSG00000155052.14,CNTNAP5
ENSG00000178171.10,AMER3
ENSG00000229203.1,AC103564.7
ENSG00000226886.1,AC093787.1
ENSG00000153253.15,SCN3A
ENSG00000144285.16,SCN1A
ENSG00000235934.1,AC007405.8
ENSG00000144331.18,ZNF385B
ENSG00000170396.7,ZNF804A
ENSG00000138378.17,STAT4
ENSG00000144406.18,UNC80
ENSG00000230076.1,AC016708.2
ENSG00000144583.4,MARCH4
ENSG00000115596.3,WNT6
ENSG00000171450.5,CDK5R2
ENSG00000127824.13,TUBA4A
ENSG00000054356.13,PTPRN
ENSG00000072195.14,SPEG
ENSG00000116106.11,EPHA4
ENSG00000267034.1,RP11-384O8.1
ENSG00000144460.12,NYAP2
ENSG00000273301.1,RP11-314B1.2
ENSG00000153820.12,SPHKAP
ENSG00000163053.10,SLC16A14
ENSG00000232520.1,AC012507.3
ENSG00000230385.1,AC012507.4
ENSG00000171551.11,ECEL1
ENSG00000144619.14,CNTN4
ENSG00000196277.15,GRM7
ENSG00000156959.8,LHFPL4
ENSG00000144550.12,CPNE9
ENSG00000134072.10,CAMK1
ENSG00000163701.18,IL17RE
ENSG00000163704.11,PRRT3
ENSG00000131389.16,SLC6A6
ENSG00000144596.12,GRIP2
ENSG00000237838.1,AC133680.1
ENSG00000163673.7,DCLK3
ENSG00000136059.14,VILL
ENSG00000207954.1,MIR138-1
ENSG00000249992.1,TMEM158
ENSG00000008300.15,CELSR3
ENSG00000007402.11,CACNA2D2
ENSG00000163932.13,PRKCD
ENSG00000163618.17,CADPS
ENSG00000242120.3,RP11-231I13.2
ENSG00000114861.18,FOXP1
ENSG00000185008.17,ROBO2
ENSG00000181458.10,TMEM45A
ENSG00000184307.13,ZDHHC23
ENSG00000151577.12,DRD3
ENSG00000114638.7,UPK1B
ENSG00000160145.15,KALRN
ENSG00000196353.11,CPNE4
ENSG00000240086.5,RP11-657O9.1
ENSG00000188582.8,PAQR9
ENSG00000174948.5,GPR149
ENSG00000241770.1,RP11-555M1.3
ENSG00000121871.3,SLITRK3
ENSG00000244128.5,LINC01322
ENSG00000013293.5,SLC7A14
ENSG00000169760.17,NLGN1
ENSG00000145198.14,VWA5B2
ENSG00000145194.17,ECE2
ENSG00000175182.13,FAM131A
ENSG00000244405.7,ETV5
ENSG00000157005.3,SST
ENSG00000145014.17,TMEM44
ENSG00000283183.1,RP11-1263C18.2
ENSG00000249784.1,SCARNA22
ENSG00000188981.10,MSANTD1
ENSG00000250986.1,AC141928.1
ENSG00000184160.7,ADRA2C
ENSG00000072832.14,CRMP1
ENSG00000181215.13,C4orf50
ENSG00000249896.2,RP11-586D19.1
ENSG00000013288.8,MAN2B2
ENSG00000169744.12,LDB2
ENSG00000145147.19,SLIT2
ENSG00000169851.15,PCDH7
ENSG00000145248.6,SLC10A4
ENSG00000157404.15,KIT
ENSG00000145242.13,EPHA5
ENSG00000178522.14,AMBN
ENSG00000156140.9,ADAMTS3
ENSG00000138759.17,FRAS1
ENSG00000138670.17,RASGEF1B
ENSG00000138741.10,TRPC3
ENSG00000137460.8,FHDC1
ENSG00000121210.15,KIAA0922
ENSG00000145428.14,RNF175
ENSG00000164128.6,NPY1R
ENSG00000218336.8,TENM3
ENSG00000168491.9,CCDC110
ENSG00000154556.17,SORBS2
ENSG00000164236.11,ANKRD33B
ENSG00000154162.14,CDH12
ENSG00000113100.9,CDH9
ENSG00000113361.12,CDH6
ENSG00000113494.16,PRLR
ENSG00000251189.1,CTD-2196P11.2
ENSG00000176928.5,GCNT4
ENSG00000175426.10,PCSK1
ENSG00000174136.11,RGMB
ENSG00000251293.1,CTC-552D5.1
ENSG00000249421.1,ADAMTS19-AS1
ENSG00000198108.3,CHSY3
ENSG00000053108.16,FSTL4
ENSG00000271824.1,AC009014.3
ENSG00000120738.7,EGR1
ENSG00000243232.4,PCDHAC2
ENSG00000204956.5,PCDHGA1
ENSG00000240764.3,PCDHGC5
ENSG00000164620.8,RELL2
ENSG00000156463.17,SH3RF2
ENSG00000164270.17,HTR4
ENSG00000276365.1,MIR145
ENSG00000155846.16,PPARGC1B
ENSG00000199047.3,MIR378A
ENSG00000145934.16,TENM2
ENSG00000188573.7,FBLL1
ENSG00000184347.14,SLIT3
ENSG00000113749.7,HRH2
ENSG00000074317.10,SNCB
ENSG00000113763.10,UNC5A
ENSG00000131188.11,PRR7
ENSG00000196923.13,PDLIM7
ENSG00000170089.15,RP11-423H2.1
ENSG00000145911.5,N4BP3
ENSG00000037280.15,FLT4
ENSG00000229931.1,RP1-151F17.1
ENSG00000272341.1,RP1-151F17.2
ENSG00000232040.2,ZBED9
ENSG00000197283.13,SYNGAP1
ENSG00000124493.13,GRM4
ENSG00000197753.8,LHFPL5
ENSG00000156711.16,MAPK13
ENSG00000112164.5,GLP1R
ENSG00000269387.1,RP11-298J23.8
ENSG00000124496.12,TRERF1
ENSG00000171462.14,DLK2
ENSG00000204052.4,LRRC73
ENSG00000178233.17,TMEM151B
ENSG00000146070.16,PLA2G7
ENSG00000244694.7,PTCHD4
ENSG00000197261.11,C6orf141
ENSG00000082293.12,COL19A1
ENSG00000146242.8,TPBG
ENSG00000135333.13,EPHA7
ENSG00000112218.8,GPR63
ENSG00000146267.11,FAXC
ENSG00000164418.19,GRIK2
ENSG00000249853.7,HS3ST5
ENSG00000228704.1,RP11-138M12.1
ENSG00000182747.4,SLC35D3
ENSG00000152822.13,GRM1
ENSG00000203727.3,SAMD5
ENSG00000091844.7,RGS17
ENSG00000146426.17,TIAM2
ENSG00000185345.18,PARK2
ENSG00000164488.11,DACT2
ENSG00000112562.18,SMOC2
ENSG00000230487.7,PSMG3-AS1
ENSG00000136295.14,TTYH3
ENSG00000155034.18,FBXL18
ENSG00000122584.12,NXPH1
ENSG00000005108.15,THSD7A
ENSG00000272361.2,GS1-166A23.2
ENSG00000228944.1,AC004485.3
ENSG00000122574.10,WIPF3
ENSG00000078053.16,AMPH
ENSG00000122641.10,INHBA
ENSG00000002746.14,HECW1
ENSG00000136280.15,CCM2
ENSG00000164742.14,ADCY1
ENSG00000170419.10,VSTM2A
ENSG00000226278.1,PSPHP1
ENSG00000185274.11,WBSCR17
ENSG00000201643.1,SNORA14A
ENSG00000177679.15,SRRM3
ENSG00000235436.10,DPY19L2P4
