gene_id,gene_name
ENSG00000230092.7,RP11-206L10.8
ENSG00000171612.6,SLC25A33
ENSG00000173614.13,NMNAT1
ENSG00000160049.11,DFFA
ENSG00000199347.1,RNU5E-1
ENSG00000239149.1,SNORA59A
ENSG00000233954.6,UQCRHL
ENSG00000132881.11,RSG1
ENSG00000238142.1,RP11-108M9.4
ENSG00000173436.13,MINOS1
ENSG00000183114.7,FAM43B
ENSG00000188529.14,SRSF10
ENSG00000158006.13,PAFAH2
ENSG00000175087.9,PDIK1L
ENSG00000243659.1,RP11-4K3__A.3
ENSG00000130772.13,MED18
ENSG00000120656.11,TAF12
ENSG00000116353.15,MECR
ENSG00000176261.15,ZBTB8OS
ENSG00000160097.15,FNDC5
ENSG00000163866.8,SMIM12
ENSG00000197056.9,ZMYM1
ENSG00000181817.5,LSM10
ENSG00000116898.11,MRPS15
ENSG00000116922.14,C1orf109
ENSG00000196449.3,YRDC
ENSG00000183520.11,UTP11
ENSG00000116954.7,RRAGC
ENSG00000090621.13,PABPC4
ENSG00000043514.15,TRIT1
ENSG00000259943.1,RP1-39G22.7
ENSG00000164002.11,EXO5
ENSG00000171793.13,CTPS1
ENSG00000010803.16,SCMH1
ENSG00000171960.10,PPIH
ENSG00000177868.11,SVBP
ENSG00000164010.13,ERMAP
ENSG00000159479.16,MED8
ENSG00000159596.6,TMEM69
ENSG00000197429.10,IPP
ENSG00000085998.13,POMGNT1
ENSG00000132122.11,SPATA6
ENSG00000185104.19,FAF1
ENSG00000134744.13,ZCCHC11
ENSG00000228929.1,RPS13P2
ENSG00000162384.13,C1orf123
ENSG00000058804.11,NDC1
ENSG00000058799.13,YIPF1
ENSG00000081870.11,HSPB11
ENSG00000162600.11,OMA1
ENSG00000162601.9,MYSM1
ENSG00000162604.12,TM2D1
ENSG00000203965.12,EFCAB7
ENSG00000152763.16,WDR78
ENSG00000198160.14,MIER1
ENSG00000254685.6,FPGT
ENSG00000116791.13,CRYZ
ENSG00000162623.15,TYW3
ENSG00000137955.15,RABGGTB
ENSG00000036549.12,ZZZ3
ENSG00000137959.15,IFI44L
ENSG00000137965.10,IFI44
ENSG00000162642.13,C1orf52
ENSG00000122417.15,ODF2L
ENSG00000153936.16,HS2ST1
ENSG00000137944.16,KYAT3
ENSG00000171488.14,LRRC8C
ENSG00000162664.16,ZNF326
ENSG00000189195.10,BTBD8
ENSG00000273487.1,RP4-621B10.8
ENSG00000174842.16,GLMN
ENSG00000143033.17,MTF2
ENSG00000117500.12,TMED5
ENSG00000223745.7,CCDC18-AS1
ENSG00000117505.12,DR1
ENSG00000067334.13,DNTTIP2
ENSG00000023909.9,GCLM
ENSG00000152078.9,TMEM56
ENSG00000188641.12,DPYD
ENSG00000162627.16,SNX7
ENSG00000162688.16,AGL
ENSG00000122435.9,TRMT13
ENSG00000137992.14,DBT
ENSG00000224616.1,RTCA-AS1
ENSG00000162695.11,SLC30A7
ENSG00000117543.20,DPH5
ENSG00000183298.5,RPSAP19
ENSG00000240038.6,AMY2B
ENSG00000162639.15,HENMT1
ENSG00000244716.3,RP11-20O24.4
ENSG00000213366.12,GSTM2
ENSG00000134184.12,GSTM1
ENSG00000134248.13,LAMTOR5
ENSG00000121931.15,LRIF1
