gene_id,gene_name
ENSG00000228327.3,RP11-206L10.2
ENSG00000230415.1,RP5-902P8.10
ENSG00000240731.1,RP5-890O3.9
ENSG00000268575.1,RP1-283E3.8
ENSG00000283572.1,MIR4251
ENSG00000264101.1,MIR4689
ENSG00000158286.12,RNF207
ENSG00000207056.1,RNU1-8P
ENSG00000237402.1,CAMTA1-IT1
ENSG00000252254.1,Y_RNA
ENSG00000221083.1,SNORA77
ENSG00000224315.2,RPL7P7
ENSG00000222511.2,Y_RNA
ENSG00000228423.2,RP4-633I8.4
ENSG00000231181.1,RP13-15M17.1
ENSG00000265521.1,MIR5697
ENSG00000233623.2,PGAM1P11
ENSG00000201746.1,RNU6-828P
ENSG00000264881.1,MIR1273D
ENSG00000199562.1,RNU6-37P
ENSG00000251866.1,SCARNA21
ENSG00000080947.14,CROCCP3
ENSG00000186301.8,MST1P2
ENSG00000211454.13,AKR7L
ENSG00000200403.1,RNU6-1099P
ENSG00000226396.1,RP5-1056L3.3
ENSG00000235432.1,RP5-930J4.5
ENSG00000221808.1,MIR1256
ENSG00000233072.1,RPS15AP6
ENSG00000236073.2,RP11-487E1.2
ENSG00000230068.2,CDC42-IT1
ENSG00000261326.2,LINC01355
ENSG00000117616.17,RSRP1
ENSG00000241547.1,ACTG1P20
ENSG00000269971.1,RP3-426I6.5
ENSG00000270031.1,RP3-426I6.6
ENSG00000238231.2,RP11-460I13.6
ENSG00000240750.3,RN7SL559P
ENSG00000229820.2,RP1-308E4.1
ENSG00000221216.1,RNU6ATAC27P
ENSG00000221539.1,SNORD99
ENSG00000277958.1,Metazoa_SRP
ENSG00000229447.2,RP11-490K7.4
ENSG00000266580.1,MIR4254
ENSG00000269967.1,RP11-84A19.4
ENSG00000266203.1,MIR5585
ENSG00000224066.1,RP4-622L5.7
ENSG00000162526.6,TSSK3
ENSG00000225828.1,FAM229A
ENSG00000278997.1,RP11-131M11.2
ENSG00000270115.1,RP11-415J8.7
ENSG00000222112.1,RN7SKP16
ENSG00000121904.17,CSMD2
ENSG00000207941.1,MIR552
ENSG00000241014.1,RP11-244H3.1
ENSG00000229994.1,RPL5P4
ENSG00000116819.6,TFAP2E
ENSG00000214193.9,SH3D21
ENSG00000116883.8,RP11-268J15.5
ENSG00000200421.1,Y_RNA
ENSG00000265596.1,MIR3659
ENSG00000199963.1,RNU6-605P
ENSG00000243970.1,PPIEL
ENSG00000201457.1,SNORA55
ENSG00000202222.1,Y_RNA
ENSG00000207508.1,RNU6-1237P
ENSG00000238287.1,RP11-656D10.3
ENSG00000117013.14,KCNQ4
ENSG00000127124.14,HIVEP3
ENSG00000200254.1,RNU6-536P
ENSG00000227533.5,SLC2A1-AS1
ENSG00000207256.1,RNU6-880P
ENSG00000233674.2,RP11-184I16.3
ENSG00000283477.1,MIR6079
ENSG00000233602.1,ERI3-IT1
ENSG00000198520.10,C1orf228
ENSG00000117425.13,PTCH2
ENSG00000226499.1,RP5-882O7.1
ENSG00000159588.14,CCDC17
ENSG00000225447.1,RPS15AP10
ENSG00000234329.1,RP11-767N6.2
ENSG00000085999.11,RAD54L
ENSG00000225779.1,RP4-603I14.3
ENSG00000233647.2,NENFP1
ENSG00000224986.2,PPP1R8P1
ENSG00000225623.1,AGBL4-IT1
ENSG00000237478.2,RP5-926E3.1
ENSG00000241745.3,RN7SL788P
ENSG00000224255.2,PDCL3P6
ENSG00000121310.16,ECHDC2
ENSG00000231866.2,RP4-631H13.4
ENSG00000264834.1,MIR1273F
ENSG00000265815.1,MIR1273G
ENSG00000239007.1,RNU7-95P
ENSG00000162398.11,LEXM
ENSG00000270742.1,RP4-802A10.1
ENSG00000200575.1,RNU6-414P
ENSG00000212360.1,RNU6-1177P
ENSG00000263908.1,MIR3116-1
ENSG00000213703.2,RP5-849H19.2
ENSG00000235545.1,RP11-230B22.1
ENSG00000116652.6,DLEU2L
ENSG00000264470.1,MIR4794
ENSG00000226891.7,LINC01359
ENSG00000185031.6,SLC2A3P2
ENSG00000272506.1,RP4-535B20.4
ENSG00000212257.1,RNU6-1176P
ENSG00000222624.1,RNU2-15P
ENSG00000264720.3,MIR3117
ENSG00000238778.1,RNU7-80P
ENSG00000240692.3,RN7SL538P
ENSG00000229359.2,PIN1P1
ENSG00000207721.1,MIR186
ENSG00000227207.2,RPL31P12
ENSG00000276081.1,MIR7156
ENSG00000251767.1,RNU7-8P
ENSG00000235613.2,NSRP1P1
ENSG00000232015.2,HSPE1P25
ENSG00000213540.3,RP11-486G15.1
ENSG00000199459.1,Y_RNA
ENSG00000171502.14,COL24A1
ENSG00000207234.1,RNU6-125P
ENSG00000241975.1,TCEB1P19
ENSG00000230735.1,RP11-413E1.4
ENSG00000272672.1,RP11-302M6.5
ENSG00000233401.1,PRKAR1AP1
ENSG00000229992.1,HMGB3P9
ENSG00000201317.1,RNU4-59P
ENSG00000229567.1,RP4-717I23.2
ENSG00000207379.1,Y_RNA
ENSG00000224093.5,RP5-1033H22.2
ENSG00000231992.1,RP11-57H12.2
ENSG00000269998.1,RP11-272L13.3
ENSG00000259946.1,RP11-490G2.2
ENSG00000225206.7,MIR137HG
ENSG00000227034.1,RP11-234N17.1
ENSG00000207750.1,MIR553
ENSG00000060718.19,COL11A1
ENSG00000185946.15,RNPC3
ENSG00000241361.8,SLC25A24P1
ENSG00000238118.1,SLC25A24P2
ENSG00000237349.1,RP5-1065J22.2
ENSG00000224699.8,LAMTOR5-AS1
ENSG00000273373.1,RP5-1074L1.4
ENSG00000085465.12,OVGP1
ENSG00000232558.1,KCND3-IT1
ENSG00000226419.7,SLC16A1-AS1
ENSG00000232450.1,RP4-730K3.3
ENSG00000215930.1,MIR942
ENSG00000279513.1,RP4-675C20.4
ENSG00000240244.3,GAPDHP33
ENSG00000266338.6,NBPF15
ENSG00000277420.1,CH17-408M7.1
ENSG00000276975.2,HYDIN2
ENSG00000268043.7,NBPF12
ENSG00000237781.3,RP11-54A4.2
ENSG00000203804.4,ADAMTSL4-AS1
ENSG00000277452.1,RN7SL473P
ENSG00000274963.1,RN7SL600P
ENSG00000253047.1,SNORA40
ENSG00000276103.1,U4
ENSG00000206635.1,RNU6-1062P
ENSG00000269621.1,RP11-98D18.15
ENSG00000236427.1,RP11-107M16.2
ENSG00000223599.1,RP11-216N14.7
ENSG00000238365.3,RNU7-57P
ENSG00000207134.1,RNU6-106P
ENSG00000225082.2,DAP3P1
ENSG00000203761.5,MSTO2P
ENSG00000283442.1,U4
ENSG00000206651.1,Y_RNA
ENSG00000223356.1,RP11-66D17.5
ENSG00000222552.1,RNA5SP60
ENSG00000202078.1,Y_RNA
ENSG00000207082.1,RNU6-171P
ENSG00000269887.1,RP11-477H21.2
ENSG00000230898.1,RP11-9L18.3
ENSG00000215952.1,MIR921
ENSG00000272033.1,RP11-52A20.2
ENSG00000221545.1,MIR1255B2
ENSG00000234604.2,RP1-206D15.5
ENSG00000243051.3,RN7SL269P
ENSG00000233540.1,DNM3-IT1
ENSG00000206684.1,RNU6-157P
ENSG00000226375.1,RP3-395P12.2
ENSG00000231615.2,RP11-296O14.2
ENSG00000203739.3,RP11-296O14.3
ENSG00000225591.2,RP11-360D2.2
ENSG00000236535.1,RC3H1-IT1
ENSG00000237249.1,RP1-102G20.2
ENSG00000223525.1,RABGAP1L-IT1
ENSG00000227740.1,RP11-318C24.2
ENSG00000213057.5,C1orf220
ENSG00000201347.1,RNA5SP69
ENSG00000235145.2,RPSAP16
ENSG00000265435.1,MIR3121
ENSG00000283575.1,U6
ENSG00000232586.1,KIAA1614-AS1
ENSG00000179452.2,GM140
ENSG00000273573.1,Metazoa_SRP
ENSG00000252977.1,RNA5SP70
ENSG00000230470.1,GS1-115G20.1
ENSG00000279838.1,RP4-635A23.6
ENSG00000262180.1,OCLM
ENSG00000228238.1,GS1-304P7.2
ENSG00000234473.1,ZNF101P2
ENSG00000238754.1,SCARNA18B
ENSG00000237861.1,RP11-332L8.1
ENSG00000221879.3,MRPS21P3
ENSG00000207139.1,Y_RNA
ENSG00000233040.2,FAM204BP
ENSG00000264802.1,MIR5191
ENSG00000200942.1,RNU6-501P
ENSG00000277681.1,MIR6739
ENSG00000232626.3,RP11-175B9.2
ENSG00000235449.2,RP11-480I12.2
ENSG00000221643.1,SNORA77
ENSG00000219133.2,RP11-203F10.6
ENSG00000229657.2,RP11-494K3.2
ENSG00000206762.1,RNU6-418P
ENSG00000201944.1,SNORA72
ENSG00000261000.1,RP11-534L20.5
ENSG00000234219.1,CDCA4P4
ENSG00000203709.10,C1orf132
ENSG00000261453.1,RP11-565N2.1
ENSG00000259815.1,RP11-565N2.2
ENSG00000224668.1,IPO8P1
ENSG00000234233.1,KCNH1-IT1
ENSG00000230063.1,RP11-384C4.6
ENSG00000201544.1,SNORA16B
ENSG00000123685.8,BATF3
ENSG00000233012.2,HDAC1P2
ENSG00000278467.1,RP11-504P24.9
ENSG00000221406.1,MIR320B2
ENSG00000228382.1,ITPKB-IT1
ENSG00000236636.2,RP11-211A18.1
ENSG00000280157.1,RP11-520H14.7
ENSG00000266174.1,MIR4666A
ENSG00000206878.1,SNORA51
ENSG00000237481.1,RP4-803J11.2
ENSG00000199672.1,RNU4-21P
ENSG00000265744.1,MIR4427
ENSG00000231272.1,RP4-799P18.4
ENSG00000232166.1,RP4-799P18.5
ENSG00000264377.1,MIR4671
ENSG00000236358.1,RP5-827C21.2
ENSG00000273367.1,RP5-827C21.6
ENSG00000059588.9,TARBP1
ENSG00000263439.1,MIR4753
ENSG00000227962.1,RP11-382D8.3
ENSG00000226498.2,RPSAP21
ENSG00000252396.1,RN7SKP195
ENSG00000266262.1,MIR4428
ENSG00000223694.1,ADH5P3
ENSG00000252317.1,Y_RNA
ENSG00000215802.3,RFKP1
ENSG00000238085.1,RP11-435F13.2
ENSG00000224348.2,RP11-306K13.1
ENSG00000272865.1,RP11-561I11.4
ENSG00000265201.1,MIR4677
ENSG00000226766.1,FABP7P1
ENSG00000232184.1,RP11-370K11.1
ENSG00000228939.1,AKT3-IT1
ENSG00000226828.1,RP11-278H7.1
ENSG00000251754.1,RNU6-999P
ENSG00000202184.1,RNU6-1283P
ENSG00000230184.1,SMYD3-IT1
ENSG00000207326.1,Y_RNA
ENSG00000235021.1,RP11-439E19.7
ENSG00000227953.6,LINC01341
ENSG00000224014.1,RP11-488L18.6
ENSG00000224830.2,OR2X1P
ENSG00000237492.1,OR2L9P
ENSG00000224227.2,OR2L1P
ENSG00000199442.1,Y_RNA
ENSG00000200085.1,Y_RNA
ENSG00000200982.1,Y_RNA
ENSG00000189181.4,OR14I1
ENSG00000171163.15,ZNF692
ENSG00000227364.1,AC018685.2
ENSG00000228391.1,AC011995.3
ENSG00000234423.1,LINC01250
ENSG00000236760.1,AC019118.3
ENSG00000224885.1,TSSC1-IT1
ENSG00000272002.1,RP11-557L19.1
ENSG00000229727.6,AC013460.1
ENSG00000239300.5,RP11-400L8.2
ENSG00000238962.1,RNU7-176P
ENSG00000232056.1,AC092687.4
ENSG00000145063.14,AC062028.1
ENSG00000201610.1,RNA5SP84
ENSG00000251718.1,RNU2-13P
ENSG00000265056.1,MIR548S
ENSG00000229087.1,RP11-32P22.1
ENSG00000238735.1,RNU7-113P
ENSG00000200829.1,Y_RNA
ENSG00000269976.1,RP11-130L8.2
ENSG00000231948.2,HS1BP3-IT1
ENSG00000233416.1,AC012065.5
ENSG00000270100.1,RP11-130L8.1
ENSG00000224464.2,PGAM1P6
ENSG00000186453.12,FAM228A
ENSG00000242628.5,AC009228.1
ENSG00000251805.1,SCARNA21
ENSG00000206732.1,RNU6-936P
ENSG00000202479.1,SNORD14
ENSG00000276653.1,RN7SL856P
ENSG00000221445.3,MIR1301
ENSG00000235072.2,AC012074.2
ENSG00000187536.4,TPM3P7
ENSG00000199872.1,RNU6-942P
ENSG00000200003.1,RNU6-986P
ENSG00000225991.1,RPL23AP34
ENSG00000270640.1,RP11-373D23.2
ENSG00000163803.12,PLB1
ENSG00000264994.1,SNORD92
ENSG00000265145.1,SNORD53
ENSG00000265706.1,SNORD53_SNORD92
ENSG00000273165.1,RP11-1057B6.1
ENSG00000229816.1,DDX50P1
ENSG00000276334.1,AL133243.1
ENSG00000276517.1,AL133243.2
ENSG00000207653.1,MIR558
ENSG00000274159.1,AL133243.3
ENSG00000279544.1,AL133243.4
ENSG00000252246.1,RNA5SP92
ENSG00000237133.1,AC020594.5
ENSG00000252756.1,RNU6-577P
ENSG00000272054.1,RP11-423P10.2
ENSG00000225900.1,HSPE1P13
ENSG00000252473.1,SNORA67
ENSG00000273035.1,RP11-449G16.1
ENSG00000200550.1,RNU6-137P
ENSG00000152527.13,PLEKHH2
ENSG00000225156.2,AC012354.6
ENSG00000279254.1,RP11-536C12.1
ENSG00000260977.1,RP11-333I13.1
ENSG00000222005.8,LINC01118
ENSG00000235760.3,HCG2040054
ENSG00000216191.1,MIR8485
ENSG00000238165.1,AC007560.1
ENSG00000237887.1,RPL23AP32
ENSG00000252507.1,RNU7-81P
ENSG00000233723.7,LINC01122
ENSG00000232713.2,AC010733.5
ENSG00000173209.22,AHSA2
ENSG00000234624.2,AC016894.1
ENSG00000266097.1,MIR5192
ENSG00000237162.1,RP11-443F16.1
ENSG00000233716.1,AC074367.1
ENSG00000223935.1,AC008074.3
ENSG00000283204.1,MIR4434
ENSG00000252414.1,RNU6-100P
ENSG00000227394.1,AC007386.3
ENSG00000252892.1,RNU6-548P
ENSG00000232693.2,AC012370.2
ENSG00000266649.1,MIR3126
ENSG00000232228.1,RP11-77O7.1
ENSG00000179818.13,PCBP1-AS1
ENSG00000281195.1,ZNF638-IT1
ENSG00000230002.2,ALMS1-IT1
ENSG00000163016.9,ALMS1P1
ENSG00000273245.1,RP11-434P11.2
ENSG00000280037.1,RP11-434P11.1
ENSG00000236209.1,AC104135.2
ENSG00000259056.1,DUXAP1
ENSG00000231134.1,TCF7L1-IT1
ENSG00000202382.1,Y_RNA
ENSG00000278590.1,RN7SL113P
ENSG00000200241.1,Y_RNA
ENSG00000200563.1,RNU6-640P
ENSG00000183281.14,PLGLB1
ENSG00000265507.1,MIR4435-1
ENSG00000234231.3,AC093616.4
ENSG00000236969.2,GGT8P
ENSG00000259916.1,RP11-407P15.2
ENSG00000223564.1,CYP4F32P
ENSG00000232502.1,AC073464.7
ENSG00000235571.1,SNX18P14
ENSG00000204717.4,AC073464.11
ENSG00000229089.6,ANKRD20A8P
ENSG00000212140.1,RNU6-1320P
ENSG00000155066.15,PROM2
ENSG00000232931.5,LINC00342
ENSG00000174501.14,ANKRD36C
ENSG00000249715.9,FER1L5
ENSG00000264157.3,MIR3127
ENSG00000273265.1,RP11-353K11.1
ENSG00000163126.14,ANKRD23
ENSG00000135976.16,ANKRD36
ENSG00000230606.10,AC159540.1
ENSG00000196912.12,ANKRD36B
ENSG00000228486.10,LINC01125
ENSG00000238719.1,RNU7-96P
ENSG00000238830.1,RNU7-46P
ENSG00000234169.1,AC092168.3
ENSG00000228488.1,AC092168.4
ENSG00000232034.1,AC092168.2
ENSG00000226508.1,AC104655.3
ENSG00000238250.1,ST6GAL2-IT1
ENSG00000204588.5,LINC01123
ENSG00000227992.1,AC108463.2
ENSG00000266139.2,MIR4435-2
ENSG00000266063.1,MIR4771-2
ENSG00000240183.3,RN7SL297P
ENSG00000207383.1,Y_RNA
ENSG00000221055.1,MIR1302-3
ENSG00000265429.3,MIR4782
ENSG00000222467.1,Y_RNA
ENSG00000232503.1,CYCSP8
ENSG00000227745.1,AC098826.5
ENSG00000163046.15,ANKRD30BL
ENSG00000202174.1,RNA5-8SP5
ENSG00000221288.1,MIR663B
ENSG00000228721.1,AC016909.2
ENSG00000263813.1,MIR3679
ENSG00000207654.4,MIR128-1
ENSG00000283506.1,MIR7157
ENSG00000236440.1,AC117947.1
