gene_id,gene_name
ENSG00000271746.1,RP1-202O8.3
ENSG00000175147.11,TMEM51-AS1
ENSG00000233421.4,RP5-875O13.1
ENSG00000207513.1,RNU1-3
ENSG00000228549.3,RP11-108M9.3
ENSG00000272426.1,RP11-108M9.6
ENSG00000181773.6,GPR3
ENSG00000252777.1,SCARNA24
ENSG00000233775.1,RP4-811H24.9
ENSG00000273274.1,ZBTB8B
ENSG00000223944.1,RP5-1180C18.1
ENSG00000236200.5,KDM4A-AS1
ENSG00000225721.5,RP11-269F19.2
ENSG00000162374.16,ELAVL4
ENSG00000236360.2,RP11-334A14.2
ENSG00000226754.1,RP5-1024G6.5
ENSG00000225675.2,RP4-784A16.5
ENSG00000243725.6,TTC4
ENSG00000173406.15,DAB1
ENSG00000234318.1,RP4-771M4.3
ENSG00000272855.1,RP5-1102E8.3
ENSG00000137976.7,DNASE2B
ENSG00000280099.1,RP11-33E12.2
ENSG00000233228.1,LPCAT2BP
ENSG00000224613.6,RP11-153F1.1
ENSG00000196427.13,NBPF4
ENSG00000241720.2,RP4-735C1.4
ENSG00000272419.5,RP11-403I13.8
ENSG00000272150.5,NBPF25P
ENSG00000201699.1,RNU1-59P
ENSG00000163141.18,BNIPL
ENSG00000261168.1,RP11-68I18.10
ENSG00000273481.1,RP11-126K1.9
ENSG00000264349.1,MIR4258
ENSG00000163352.5,LENEP
ENSG00000254726.2,MEX3A
ENSG00000224985.1,RP11-297K8.2
ENSG00000143199.17,ADCY10
ENSG00000200674.1,RN7SKP160
ENSG00000224687.1,RASAL2-AS1
ENSG00000260360.1,RP11-533E19.5
ENSG00000234996.4,RP11-480I12.9
ENSG00000261065.1,RP11-74C13.4
ENSG00000266094.7,RASSF5
ENSG00000213036.3,RP11-365D23.4
ENSG00000215817.5,ZC3H11B
ENSG00000221571.3,RNU6ATAC35P
ENSG00000197520.10,FAM177B
ENSG00000203684.5,IBA57-AS1
ENSG00000273175.1,RP11-11N7.4
ENSG00000237667.5,LINC01115
ENSG00000235078.1,AC142528.1
ENSG00000230154.1,AC018463.4
ENSG00000271991.1,RP11-79O8.1
ENSG00000173567.14,ADGRF3
ENSG00000273233.1,RP11-713D19.1
ENSG00000158089.14,GALNT14
ENSG00000272716.1,RP11-563N4.1
ENSG00000226491.1,FTOP1
ENSG00000184261.4,KCNK12
ENSG00000204923.3,FBXO48
ENSG00000116035.2,VAX2
ENSG00000270996.1,RP11-342K6.4
ENSG00000265420.1,MIR4779
ENSG00000232531.3,AC027612.1
ENSG00000230690.1,AC013402.5
ENSG00000228528.1,AC068057.1
ENSG00000229743.2,LINC01159
ENSG00000235319.1,AC012360.4
ENSG00000228400.1,AC079154.1
ENSG00000240253.5,FAR2P3
ENSG00000231158.1,PTP4A1P1
ENSG00000234350.4,AC007405.4
ENSG00000233131.1,AC096649.1
ENSG00000279205.1,RP11-632P5.1
ENSG00000079150.17,FKBP7
ENSG00000236153.1,AC104076.3
ENSG00000177855.8,CACYBPP2
ENSG00000273240.1,RP11-455J20.3
ENSG00000252148.1,RNU6-1206P
ENSG00000252485.1,Vault
ENSG00000135925.8,WNT10A
ENSG00000267919.1,RP11-256I23.3
ENSG00000234446.2,AC068489.1
ENSG00000182177.13,ASB18
ENSG00000233912.1,AC026202.3
ENSG00000254485.5,RP11-380O24.1
ENSG00000225526.4,MKRN2OS
ENSG00000272263.1,RP11-767C1.2
ENSG00000244502.2,HDAC11-AS1
ENSG00000224514.2,LINC00620
ENSG00000275340.1,FGD5P1
ENSG00000228242.6,AC093495.4
ENSG00000207163.1,RNU6-905P
ENSG00000272477.1,RP11-158G18.1
ENSG00000230480.1,AC093142.2
ENSG00000202175.1,RNA5SP128
ENSG00000163808.16,KIF15
ENSG00000280173.1,RP11-447D11.3
ENSG00000207605.3,MIR191
ENSG00000226913.1,BSN-AS2
ENSG00000164078.12,MST1R
ENSG00000243224.1,RP5-1157M23.2
ENSG00000221518.1,RNU6ATAC16P
ENSG00000081148.11,IMPG2
ENSG00000272844.1,RP11-484K9.4
ENSG00000272662.1,RP11-190C22.8
ENSG00000239608.1,RUVBL1-AS1
ENSG00000231305.3,RP11-723O4.2
ENSG00000271270.5,TMCC1-AS1
ENSG00000120756.12,PLS1
ENSG00000241679.2,RP11-80H8.4
ENSG00000207717.1,MIR551B
ENSG00000270141.3,TERC
ENSG00000203645.2,LINC00501
ENSG00000260743.1,RP11-255C15.3
ENSG00000265470.1,MIR548AQ
ENSG00000163347.5,CLDN1
ENSG00000236297.1,RP11-175P19.2
ENSG00000229912.1,AC128709.4
ENSG00000215612.7,HMX1
ENSG00000247193.2,RP11-431M7.3
ENSG00000224097.5,RP11-472B18.1
ENSG00000182308.6,DCAF4L1
ENSG00000188848.15,BEND4
ENSG00000260519.1,RP11-109E24.2
ENSG00000138669.9,PRKG2
ENSG00000213608.5,SLC25A14P1
ENSG00000270720.1,RP11-84C13.2
ENSG00000248676.1,RP11-766F14.1
ENSG00000251219.1,LINC01217
ENSG00000272567.1,RP11-73K9.3
ENSG00000254535.3,PABPC4L
ENSG00000137463.4,MGARP
ENSG00000201846.1,RNA5SP166
ENSG00000270883.1,RP11-461L13.5
ENSG00000270750.1,RP11-461L13.3
ENSG00000248174.5,RP11-148L24.1
ENSG00000177822.7,AC108142.1
ENSG00000180015.12,RP11-756P10.3
ENSG00000250761.2,RP11-711G10.1
ENSG00000279075.1,RP11-480D4.7
ENSG00000215196.4,AC091878.1
ENSG00000151388.10,ADAMTS12
ENSG00000259663.2,CTD-2314G24.2
ENSG00000272416.1,CTD-2081C10.7
ENSG00000202601.4,MIR582
ENSG00000183474.15,GTF2H2C
ENSG00000250387.2,RP11-136K7.2
ENSG00000189045.13,ANKDD1B
ENSG00000255647.3,CTD-2373J6.2
ENSG00000250240.5,CTD-2154I11.2
ENSG00000164404.8,GDF9
ENSG00000270177.1,CTD-2410N18.3
ENSG00000152705.7,CATSPER3
ENSG00000069018.17,TRPC7
ENSG00000200051.1,SNORD45
ENSG00000113555.5,PCDH12
ENSG00000272239.1,CTB-108O6.2
ENSG00000204754.3,CTC-281M20.1
ENSG00000272459.1,RP11-1277A3.3
ENSG00000220685.3,RP11-530A18.1
ENSG00000111846.15,GCNT2
ENSG00000283064.1,RP1-221C16.8
ENSG00000282988.1,RP1-34B20.21
ENSG00000272468.1,RP1-86C11.7
ENSG00000214922.9,HLA-F-AS1
ENSG00000241370.5,RPP21
ENSG00000272540.1,XXbac-BPG252P9.9
ENSG00000234006.1,DDX39B-AS1
ENSG00000272217.1,XXbac-BPG157A10.21
ENSG00000206717.1,Y_RNA
ENSG00000225945.1,RP3-441A12.1
ENSG00000266619.1,MIR4642
ENSG00000218561.1,RP1-253B10.1
ENSG00000234426.1,RP11-459O1.2
ENSG00000271931.1,RP11-63L7.5
ENSG00000187772.7,LIN28B
ENSG00000227072.1,RP3-466I7.1
ENSG00000237021.2,RP3-486I3.7
ENSG00000131015.4,ULBP2
ENSG00000203711.11,C6orf99
ENSG00000213066.11,FGFR1OP
ENSG00000242474.2,AC093627.9
ENSG00000218823.1,PAPOLB
ENSG00000230333.6,AC004538.3
ENSG00000230435.1,AC004160.4
ENSG00000234999.1,SNRPCP19
ENSG00000226468.2,AC018641.7
ENSG00000252821.1,RNU6-388P
ENSG00000252480.1,RNU6-719P
ENSG00000136197.12,C7orf25
ENSG00000062582.13,MRPS24
ENSG00000234183.1,AC004854.4
ENSG00000272768.1,RP4-673M15.1
ENSG00000234707.2,RP11-745C15.2
ENSG00000225451.1,RP11-340I6.5
ENSG00000227910.1,RP11-73B2.6
ENSG00000272693.3,RP11-479O9.4
ENSG00000230583.6,GTF2IRD1P1
ENSG00000272843.1,RP11-313P13.5
ENSG00000277125.1,CH17-264B6.3
ENSG00000254003.1,CTB-167B5.1
ENSG00000223969.5,AC002456.2
ENSG00000272604.1,RP11-251G23.5
ENSG00000250474.2,WBP1LP2
ENSG00000201041.1,RNA5SP242
ENSG00000276137.1,MIR6133
ENSG00000105929.15,ATP6V0A4
ENSG00000244151.1,RP11-148K1.12
ENSG00000273183.1,RP11-5C23.2
ENSG00000283339.1,RP11-5C23.4
ENSG00000234120.1,AF228730.8
ENSG00000263407.1,MIR4660
ENSG00000270076.1,AF131215.8
ENSG00000208037.1,MIR320A
ENSG00000147437.9,GNRH1
ENSG00000272092.1,RP11-350N15.5
ENSG00000254100.1,RP11-675F6.4
ENSG00000251396.6,LINC01301
ENSG00000178460.17,MCMDC2
ENSG00000254273.1,RP11-181D18.4
ENSG00000254387.1,MYL12AP1
ENSG00000264448.4,MIR378D2
ENSG00000272037.1,KB-431C1.5
ENSG00000253851.1,RP11-318M2.3
ENSG00000147647.12,DPYS
ENSG00000206695.1,RNU6-442P
ENSG00000207110.1,RNU1-106P
ENSG00000254028.1,AC083843.2
ENSG00000254372.1,RP11-343P9.1
ENSG00000204791.8,SMPD5
ENSG00000255559.1,ZNF252P-AS1
ENSG00000235330.2,RPL12P25
ENSG00000228115.1,RP11-165F24.5
ENSG00000273056.1,RP11-77E14.2
ENSG00000215966.1,MIR876
ENSG00000241043.1,GVQW1
ENSG00000237557.1,YWHABP1
ENSG00000237357.2,RP11-475I24.3
ENSG00000233765.1,RP11-154P18.2
ENSG00000274911.1,RP11-12A20.7
ENSG00000165072.9,MAMDC2
ENSG00000226877.7,RP11-575L7.2
ENSG00000265112.1,MIR3153
ENSG00000158169.12,FANCC
ENSG00000212447.1,SNORD90
ENSG00000239705.1,RP11-65N13.8
ENSG00000167103.11,PIP5KL1
ENSG00000228395.1,RP11-216B9.6
ENSG00000204055.4,RP11-247A12.2
ENSG00000225361.3,PPP1R26-AS1
ENSG00000165643.10,SOHLH1
ENSG00000275329.1,RP11-83N9.6
ENSG00000213221.4,DNLZ
ENSG00000213590.2,RP11-229P13.2
ENSG00000151632.17,AKR1C2
ENSG00000205488.8,CALML3-AS1
ENSG00000148426.12,PROSER2
ENSG00000197889.9,MEIG1
ENSG00000176236.6,C10orf111
ENSG00000260589.1,STAM-AS1
ENSG00000224215.1,RP11-371A19.2
ENSG00000262412.1,RP11-85G18.6
ENSG00000273038.2,RP11-479G22.8
ENSG00000229656.6,RP11-462L8.1
ENSG00000230534.6,RP11-297A16.2
ENSG00000229116.2,RP11-20J15.3
ENSG00000196932.11,TMEM26
ENSG00000272892.1,RP11-57G10.8
ENSG00000273248.1,RP11-399K21.13
ENSG00000223820.5,CFL1P1
ENSG00000273476.1,RP11-108L7.14
ENSG00000273162.1,RP11-108L7.15
ENSG00000223302.1,Y_RNA
ENSG00000232934.7,RP11-324O2.3
ENSG00000238380.1,RNU7-165P
ENSG00000222588.1,SNORA19
ENSG00000229544.8,NKX1-2
ENSG00000249456.1,RP11-298J20.4
ENSG00000235010.1,RP11-140A10.3
ENSG00000232903.2,LINC01166
ENSG00000200201.1,Y_RNA
ENSG00000110169.10,HPX
ENSG00000254595.1,CTD-2010I16.1
ENSG00000184669.7,OR7E14P
ENSG00000254489.1,RP5-1024C24.1
ENSG00000283217.1,RP11-472I20.3
ENSG00000254746.5,RP11-958J22.1
ENSG00000255498.1,RP11-618K13.2
ENSG00000200376.1,RNU5E-10P
ENSG00000254800.2,RP11-163O19.3
ENSG00000254602.1,AP000662.4
ENSG00000257052.1,RP11-881M11.2
ENSG00000256196.1,RP11-881M11.4
ENSG00000276102.1,MIR6747
ENSG00000162194.12,LBHD1
ENSG00000256940.1,RP11-783K16.5
ENSG00000278952.1,RP11-399J13.2
ENSG00000255200.1,AP003068.18
ENSG00000283326.1,MIR6860
ENSG00000231793.4,DOC2GP
ENSG00000254610.2,RP5-903G2.2
ENSG00000246889.2,AP000487.5
ENSG00000219529.2,AP000580.1
ENSG00000246174.7,KCTD21-AS1
ENSG00000245552.6,RP11-712B9.2
ENSG00000170276.5,HSPB2
ENSG00000255274.9,TMPRSS4-AS1
ENSG00000172425.10,TTC36
ENSG00000255045.1,RP11-677M14.2
ENSG00000280832.1,ST3GAL4-AS1
ENSG00000233220.3,LINC00167
ENSG00000204241.7,RP11-713P17.3
ENSG00000171847.10,FAM90A1
ENSG00000282022.1,RP11-259O18.5
ENSG00000182993.3,C12orf60
ENSG00000111713.2,GYS2
ENSG00000275197.1,RP11-295I5.4
ENSG00000256234.1,RP11-283G6.4
ENSG00000167550.10,RHEBL1
ENSG00000258101.2,RP11-977B10.2
ENSG00000170545.16,SMAGP
ENSG00000258137.5,RP11-753H16.3
ENSG00000239335.4,LLPH-AS1
ENSG00000237766.2,GGTA2P
ENSG00000236333.3,TRHDE-AS1
ENSG00000257219.5,RP11-54A9.1
ENSG00000208022.1,MIR618
ENSG00000252823.1,RNU6-148P
ENSG00000136014.11,USP44
ENSG00000279148.1,RP11-135F9.4
ENSG00000139351.14,SYCP3
ENSG00000214198.8,TTC41P
ENSG00000274859.1,RP11-136L23.2
ENSG00000278344.1,RP11-18C24.8
ENSG00000250208.6,FZD10-AS1
ENSG00000236617.2,RP11-46H11.12
ENSG00000226352.2,RP11-523H24.3
ENSG00000279951.1,RP11-264J4.8
ENSG00000277151.1,RP11-380B4.3
ENSG00000227258.5,SMIM2-AS1
ENSG00000236778.7,INTS6-AS1
ENSG00000232380.1,ZDHHC20P4
ENSG00000215417.11,MIR17HG
ENSG00000232373.2,MTCYBP3
ENSG00000203441.2,LINC00449
ENSG00000274204.1,RP11-272L14.2
ENSG00000230156.2,LINC00443
ENSG00000242061.1,CTD-2555K7.1
ENSG00000280129.1,RP11-298I3.3
ENSG00000100890.15,KIAA0391
ENSG00000278002.1,RP11-596C23.2
ENSG00000214900.9,LINC01588
ENSG00000258553.5,RP11-16B13.1
ENSG00000279633.1,RP11-442G21.2
ENSG00000140015.19,KCNH5
