gene_id,gene_name
ENSG00000223181.1,RNU6-1199P
ENSG00000272438.1,RP11-54O7.16
ENSG00000223764.2,RP11-54O7.3
ENSG00000225905.1,RP4-758J18.7
ENSG00000008128.22,CDK11A
ENSG00000130762.14,ARHGEF16
ENSG00000235169.7,SMIM1
ENSG00000283611.1,RP11-84A14.6
ENSG00000280222.1,RP11-174G17.3
ENSG00000235185.1,RP5-1056L3.1
ENSG00000227001.3,NBPF2P
ENSG00000227868.5,C1orf234
ENSG00000184454.6,NCMAP
ENSG00000225643.1,RP11-70P17.1
ENSG00000223583.1,RP3-476K8.4
ENSG00000237429.1,RP1-159A19.4
ENSG00000270605.1,RP5-1092A3.4
ENSG00000271914.1,RP4-789D17.5
ENSG00000233621.1,LINC01137
ENSG00000237624.1,OXCT2P1
ENSG00000198754.5,OXCT2
ENSG00000234694.1,RP1-92O14.3
ENSG00000229372.1,SZT2-AS1
ENSG00000230615.6,RP5-1198O20.4
ENSG00000281912.1,LINC01144
ENSG00000272491.1,RP5-1024N4.4
ENSG00000279214.1,RP5-1024N4.5
ENSG00000227070.1,RP11-191G24.1
ENSG00000227742.1,CALR4P
ENSG00000232846.1,SLC25A6P3
ENSG00000225183.1,RP4-758J24.4
ENSG00000237928.5,NFIA-AS2
ENSG00000185483.11,ROR1
ENSG00000116745.6,RPE65
ENSG00000244389.3,RN7SL242P
ENSG00000229956.10,ZRANB2-AS2
ENSG00000259030.6,FPGT-TNNI3K
ENSG00000116783.14,TNNI3K
ENSG00000233894.1,RP4-650F12.2
ENSG00000137968.16,SLC44A5
ENSG00000252338.1,RNU6-503P
ENSG00000273264.1,RP11-131L23.2
ENSG00000137975.7,CLCA2
ENSG00000237505.6,PKN2-AS1
ENSG00000231613.1,RP5-943J3.1
ENSG00000233593.8,RP4-665J23.1
ENSG00000234202.2,RP11-330C7.4
ENSG00000212248.1,RNU6-750P
ENSG00000221986.6,MYBPHL
ENSG00000254942.1,RP5-1160K1.8
ENSG00000238198.1,RP11-31F15.2
ENSG00000134253.9,TRIM45
ENSG00000273059.1,XXyac-YX155B6.7
ENSG00000227733.9,RP4-565E6.1
ENSG00000201183.1,RNVU1-3
ENSG00000206828.1,U1
ENSG00000200175.1,RNU6-1309P
ENSG00000196754.10,S100A2
ENSG00000163463.11,KRTCAP2
ENSG00000225855.6,RUSC1-AS1
ENSG00000273002.1,RP11-336K24.12
ENSG00000143318.12,CASQ1
ENSG00000227741.1,RP11-536C5.7
ENSG00000228606.1,RP11-574F21.2
ENSG00000206921.1,RNU6-481P
ENSG00000266144.1,MIR4654
ENSG00000252262.1,RNA5SP61
ENSG00000239887.4,C1orf226
ENSG00000185860.13,CCDC190
ENSG00000232995.7,RGS5
ENSG00000143228.12,NUF2
ENSG00000143178.12,TBX19
ENSG00000239494.2,RN7SL333P
ENSG00000221390.1,MIR1295A
ENSG00000231424.2,RP1-45C12.1
ENSG00000225704.2,RP4-798A17.5
ENSG00000120337.8,TNFSF18
ENSG00000117586.10,TNFSF4
ENSG00000206659.1,Y_RNA
