gene_id,gene_name
ENSG00000230699.2,RP11-54O7.1
ENSG00000230679.1,ENO1-AS1
ENSG00000272510.1,RP4-680D5.8
ENSG00000224174.2,RP4-798A10.4
ENSG00000221662.1,MIR1290
ENSG00000238084.4,RP3-469D22.1
ENSG00000236155.6,RP11-231P20.2
ENSG00000243749.1,TMEM35B
ENSG00000272371.1,RP11-25O10.2
ENSG00000251720.1,RNU7-123P
ENSG00000162620.15,LRRIQ3
ENSG00000137960.5,GIPC2
ENSG00000271092.5,TMEM56-RWDD3
ENSG00000234257.1,SOD2P1
ENSG00000273382.1,RP5-1065J22.8
ENSG00000134242.15,PTPN22
ENSG00000134256.12,CD101
ENSG00000273727.1,U1
ENSG00000281741.1,AC241377.1
ENSG00000174827.13,PDZK1
ENSG00000234283.1,RP11-495P10.6
ENSG00000203812.2,HIST2H2AA3
ENSG00000143452.15,HORMAD1
ENSG00000189334.8,S100A14
ENSG00000236675.1,MTX1P1
ENSG00000232519.2,RP11-29H23.4
ENSG00000272971.1,RP11-284F21.11
ENSG00000163568.14,AIM2
ENSG00000213080.3,RP11-312J18.5
ENSG00000226889.3,RP11-474I16.8
ENSG00000143194.12,MAEL
ENSG00000227579.5,RP1-35C21.2
ENSG00000179930.5,ZNF648
ENSG00000271387.1,RP11-382D12.2
ENSG00000214796.8,RP11-480I12.5
ENSG00000240710.1,RP11-430C7.4
ENSG00000229930.1,RP11-504P24.5
ENSG00000185842.14,DNAH14
ENSG00000143632.14,ACTA1
ENSG00000188739.14,RBM34
ENSG00000215808.2,LINC01139
ENSG00000172554.11,SNTG2
ENSG00000227210.1,AC079145.4
ENSG00000233005.1,AC067959.1
ENSG00000279526.1,AC011239.2
ENSG00000205221.12,VIT
ENSG00000231367.5,AC016995.3
ENSG00000270898.5,GPR75-ASB3
ENSG00000273063.1,RP11-334G22.1
ENSG00000168992.4,OR7E102P
ENSG00000256637.6,RP11-76I14.1
ENSG00000153165.18,RGPD3
ENSG00000015568.12,RGPD5
ENSG00000236307.2,EEF1E1P1
ENSG00000265451.1,RP11-204L24.2
ENSG00000226939.1,AC062021.1
ENSG00000232606.1,LINC01412
ENSG00000163331.10,DAPL1
ENSG00000054219.10,LY75
ENSG00000152253.8,SPC25
ENSG00000236501.5,AC079305.11
ENSG00000229337.1,AC079305.8
ENSG00000224063.5,AC007319.1
ENSG00000225062.1,CATIP-AS1
ENSG00000235337.1,AC114765.2
ENSG00000236116.1,AC064853.2
ENSG00000224272.2,AC114730.3
ENSG00000261186.2,RP11-341N2.1
ENSG00000235830.1,SRGAP3-AS4
ENSG00000132170.19,PPARG
ENSG00000228956.8,SATB1-AS1
ENSG00000235904.2,RBMS3-AS3
ENSG00000224858.5,RPL29P11
ENSG00000241186.8,TDGF1
ENSG00000114854.7,TNNC1
ENSG00000244383.1,FAM3D-AS1
ENSG00000163689.19,C3orf67
