gene_id,gene_name
ENSG00000226944.1,RP1-120G22.11
ENSG00000230337.1,RP4-635E18.6
ENSG00000263676.1,MIR4632
ENSG00000233069.1,RP5-930J4.2
ENSG00000162552.14,WNT4
ENSG00000070886.11,EPHA8
ENSG00000265422.1,MIR4684
ENSG00000214973.3,CHCHD3P3
ENSG00000229044.1,RP11-266K22.2
ENSG00000237749.4,RP3-423B22.5
ENSG00000134690.10,CDCA8
ENSG00000207962.1,MIR30C1
ENSG00000281133.1,AL355480.3
ENSG00000228502.1,EEF1A1P11
ENSG00000228665.2,RP11-20O24.1
ENSG00000134259.3,NGF
ENSG00000118729.11,CASQ2
ENSG00000278099.1,U1
ENSG00000271644.1,RP3-365I19.2
ENSG00000281571.1,AC241585.1
ENSG00000274428.1,U1
ENSG00000199879.1,RNU1-120P
ENSG00000259357.2,RP11-316M1.12
ENSG00000223861.1,RP11-74C1.2
ENSG00000159450.12,TCHH
ENSG00000272030.1,RP1-178F15.4
ENSG00000227295.2,ELL2P1
ENSG00000233328.3,PFN1P1
ENSG00000236792.1,RP11-142L4.2
ENSG00000231871.5,IPO9-AS1
ENSG00000133067.17,LGR6
ENSG00000170498.8,KISS1
ENSG00000235363.1,SNRPGP10
ENSG00000224114.1,RP11-343H5.4
ENSG00000234004.4,RP11-543B16.1
ENSG00000227934.1,RP11-423F24.3
ENSG00000237991.3,RPL35P1
ENSG00000162722.8,TRIM58
ENSG00000268412.2,TRMT112P6
ENSG00000229122.1,AGBL5-IT1
ENSG00000207187.1,SNORA64
ENSG00000162881.6,OXER1
ENSG00000231043.3,AC007238.1
ENSG00000199460.2,RNU6-1216P
ENSG00000231414.1,AC016700.6
ENSG00000233849.1,AC022201.5
ENSG00000272702.1,RP11-44N22.3
ENSG00000270532.1,PEBP1P2
ENSG00000233205.1,AC108479.2
ENSG00000121152.9,NCAPH
ENSG00000214199.3,EEF1A1P12
ENSG00000231747.1,AC079922.2
ENSG00000144158.4,RP11-395L14.17
ENSG00000171227.6,TMEM37
