# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007156	BP	e	homophilic cell adhesion via plasma membrane adhesion molecules	12/94	167/20670	1.398501119639127e-11	5	12	1.739875242943038e-07	8641, 9752, 56135, 56136, 56137, 56138, 56139, 56140, 56141, 56143, 56144, 56145
GO:0007155	BP	e	cell adhesion	14/94	485/20670	3.989119460320436e-08	2	14	0.00024814317602923273	1303, 8639, 8641, 9752, 56135, 56136, 56137, 56138, 56139, 56140, 56141, 56143, 56144, 56145
GO:0005509	MF	e	calcium ion binding	18/94	712/20670	2.9276915958820864e-09	5	18	1.296381838656588e-05	2201, 8639, 8641, 9752, 56135, 56136, 56137, 56138, 56139, 56140, 56141, 56143, 56144, 56145, 57758, 84766, 170591, 440854
