gene_id,gene_name
chr11:113414462-113415420(-),
chr11:113412884-113414374(-),
ENSG00000225630.1,MTND2P28
ENSG00000237973.1,MTCO1P12
ENSG00000248527.1,MTATP6P1
ENSG00000198744.5,MTCO3P12
ENSG00000131584.18,ACAP3
ENSG00000107404.18,DVL1
ENSG00000175756.13,AURKAIP1
ENSG00000242485.5,MRPL20
ENSG00000160075.11,SSU72
ENSG00000272106.1,RP11-345P4.9
ENSG00000078369.17,GNB1
ENSG00000187730.7,GABRD
ENSG00000067606.16,PRKCZ
ENSG00000157933.9,SKI
ENSG00000177133.10,LINC00982
ENSG00000158109.14,TPRG1L
ENSG00000130764.9,LRRC47
ENSG00000069424.14,KCNAB2
ENSG00000116251.9,RPL22
ENSG00000116237.15,ICMT
ENSG00000007923.15,DNAJC11
ENSG00000171735.18,CAMTA1
ENSG00000116288.12,PARK7
ENSG00000142599.17,RERE
ENSG00000074800.13,ENO1
ENSG00000171603.16,CLSTN1
ENSG00000178585.14,CTNNBIP1
ENSG00000162441.11,LZIC
ENSG00000054523.17,KIF1B
ENSG00000142657.20,PGD
ENSG00000120948.15,TARDBP
ENSG00000116649.9,SRM
ENSG00000198793.12,MTOR
ENSG00000116661.9,FBXO2
ENSG00000132879.13,FBXO44
ENSG00000116688.16,MFN2
ENSG00000048707.13,VPS13D
ENSG00000116786.11,PLEKHM2
ENSG00000055070.16,SZRD1
ENSG00000236698.1,EIF1AXP1
ENSG00000159363.17,ATP13A2
ENSG00000117118.9,SDHB
ENSG00000159423.16,ALDH4A1
ENSG00000127463.13,EMC1
ENSG00000053372.4,MRTO4
ENSG00000053371.12,AKR7A2
ENSG00000077549.17,CAPZB
ENSG00000162545.5,CAMK2N1
ENSG00000158828.6,PINK1
ENSG00000244038.9,DDOST
ENSG00000127483.17,HP1BP3
ENSG00000075151.20,EIF4G3
ENSG00000076864.19,RAP1GAP
ENSG00000070831.15,CDC42
ENSG00000004487.15,KDM1A
ENSG00000125944.18,HNRNPR
ENSG00000125945.14,ZNF436
ENSG00000142676.12,RPL11
ENSG00000057757.9,PITHD1
ENSG00000189266.11,PNRC2
ENSG00000001461.16,NIPAL3
ENSG00000117614.9,SYF2
ENSG00000183726.10,TMEM50A
ENSG00000162430.16,SEPN1
ENSG00000117640.17,MTFR1L
ENSG00000142669.14,SH3BGRL3
ENSG00000198830.10,HMGN2
ENSG00000090273.13,NUDC
ENSG00000253368.3,TRNP1
ENSG00000142784.15,WDTC1
ENSG00000158195.10,WASF2
ENSG00000126709.14,IFI6
ENSG00000117758.13,STX12
ENSG00000117751.17,PPP1R8
ENSG00000117748.9,RPA2
ENSG00000126698.10,DNAJC8
ENSG00000130770.17,ATPIF1
ENSG00000198492.15,YTHDF2
ENSG00000162512.15,SDC3
ENSG00000134644.15,PUM1
ENSG00000121766.15,ZCCHC17
ENSG00000121769.7,FABP3
ENSG00000162517.12,PEF1
ENSG00000121753.12,ADGRB2
ENSG00000121774.17,KHDRBS1
ENSG00000025800.13,KPNA6
ENSG00000084623.11,EIF3I
ENSG00000160058.18,BSDC1
ENSG00000162521.18,RBBP4
ENSG00000134684.10,YARS
ENSG00000121905.9,HPCA
ENSG00000116514.16,RNF19B
ENSG00000134686.17,PHC2
ENSG00000116544.11,DLGAP3
ENSG00000116560.10,SFPQ
ENSG00000146463.11,ZMYM4
ENSG00000020129.15,NCDN
ENSG00000126067.11,PSMB2
ENSG00000142686.7,C1orf216
ENSG00000092847.11,AGO1
ENSG00000116863.10,ADPRHL2
ENSG00000054116.11,TRAPPC3
ENSG00000116871.15,MAP7D1
ENSG00000054118.13,THRAP3
ENSG00000201448.1,SNORA63
ENSG00000163875.15,MEAF6
ENSG00000197982.13,C1orf122
ENSG00000183431.11,SF3A3
ENSG00000174574.15,AKIRIN1
ENSG00000168653.10,NDUFS5
ENSG00000127603.23,MACF1
ENSG00000116983.12,HPCAL4
ENSG00000131236.16,CAP1
ENSG00000131238.16,PPT1
ENSG00000117000.8,RLF
ENSG00000084073.8,ZMPSTE24
ENSG00000084070.11,SMAP2
ENSG00000117016.9,RIMS3
ENSG00000198815.8,FOXJ3
ENSG00000177181.14,RIMKLA
ENSG00000127125.8,PPCS
ENSG00000236876.3,TMSB4XP1
ENSG00000065978.18,YBX1
ENSG00000117394.19,SLC2A1
ENSG00000117395.11,EBNA1BP2
ENSG00000142949.16,PTPRF
ENSG00000117410.13,ATP6V0B
ENSG00000117411.16,B4GALT2
ENSG00000117419.14,ERI3
ENSG00000142937.11,RPS8
ENSG00000126088.13,UROD
ENSG00000117450.13,PRDX1
