gene_id,gene_name
ENSG00000188976.10,NOC2L
ENSG00000187608.8,ISG15
ENSG00000188157.13,AGRN
ENSG00000078808.16,SDF4
ENSG00000176022.4,B3GALT6
ENSG00000160087.20,UBE2J2
ENSG00000127054.19,CPSF3L
ENSG00000221978.11,CCNL2
ENSG00000224870.6,RP4-758J18.2
ENSG00000248333.8,CDK11B
ENSG00000189339.11,SLC35E2B
ENSG00000008130.15,NADK
ENSG00000157916.19,RER1
ENSG00000157911.9,PEX10
ENSG00000157881.13,PANK4
ENSG00000157870.14,FAM213B
ENSG00000116198.12,CEP104
ENSG00000162408.10,NOL9
ENSG00000162413.16,KLHL21
ENSG00000116273.5,PHF13
ENSG00000041988.15,THAP3
ENSG00000049246.14,PER3
ENSG00000116285.12,ERRFI1
ENSG00000162426.14,SLC45A1
ENSG00000049239.12,H6PD
ENSG00000171621.13,SPSB1
ENSG00000130939.18,UBE4B
ENSG00000142655.12,PEX14
ENSG00000171824.13,EXOSC10
ENSG00000120942.13,UBIAD1
ENSG00000116670.14,MAD2L2
ENSG00000177674.15,AGTRAP
ENSG00000011021.21,CLCN6
ENSG00000116685.15,KIAA2013
ENSG00000083444.16,PLOD1
ENSG00000116691.10,MIIP
ENSG00000120949.14,TNFRSF8
ENSG00000116731.22,PRDM2
ENSG00000189337.16,KAZN
ENSG00000116138.12,DNAJC16
ENSG00000065526.10,SPEN
ENSG00000116809.11,ZBTB17
ENSG00000037637.10,FBXO42
ENSG00000157191.19,NECAP2
ENSG00000215908.9,CROCCP2
ENSG00000179051.13,RCC2
ENSG00000074964.16,ARHGEF10L
ENSG00000127481.14,UBR4
ENSG00000158747.13,NBL1
ENSG00000090432.6,MUL1
ENSG00000117298.14,ECE1
ENSG00000090686.15,USP48
ENSG00000184677.16,ZBTB40
ENSG00000117318.8,ID3
ENSG00000011007.12,TCEB3
ENSG00000179163.11,FUCA1
ENSG00000133226.16,SRRM1
ENSG00000204178.9,TMEM57
ENSG00000182749.5,PAQR7
ENSG00000142684.8,ZNF593
ENSG00000130695.13,CEP85
ENSG00000158062.20,UBXN11
ENSG00000117682.16,DHDDS
ENSG00000117713.18,ARID1A
ENSG00000060642.10,PIGV
ENSG00000142751.14,GPN2
ENSG00000198746.12,GPATCH3
ENSG00000186501.14,TMEM222
ENSG00000126705.13,AHDC1
ENSG00000158161.15,EYA3
ENSG00000228589.3,SPCS2P4
ENSG00000130766.4,SESN2
ENSG00000253304.1,TMEM200B
ENSG00000116350.16,SRSF4
ENSG00000060688.12,SNRNP40
ENSG00000084652.15,TXLNA
ENSG00000116478.11,HDAC1
ENSG00000116497.17,S100PBP
ENSG00000004455.16,AK2
ENSG00000160094.14,ZNF362
ENSG00000142687.17,KIAA0319L
ENSG00000134698.10,AGO4
ENSG00000126070.19,AGO3
ENSG00000196182.10,STK40
ENSG00000116885.18,OSCP1
ENSG00000163873.9,GRIK3
ENSG00000163877.9,SNIP1
ENSG00000134697.12,GNL2
ENSG00000188786.9,MTF1
ENSG00000066136.20,NFYC
ENSG00000198198.14,SZT2
ENSG00000178922.16,HYI
ENSG00000066135.12,KDM4A
ENSG00000126091.19,ST3GAL3
ENSG00000132768.13,DPH2
ENSG00000178028.13,DMAP1
ENSG00000070785.16,EIF2B3
ENSG00000126107.14,HECTD3
ENSG00000162415.6,ZSWIM5
ENSG00000132773.11,TOE1
ENSG00000132763.14,MMACHC
