gene_id,gene_name
ENSG00000227232.5,WASH7P
ENSG00000279457.3,FO538757.1
ENSG00000236679.2,RPL23AP24
ENSG00000228794.8,LINC01128
ENSG00000225880.5,LINC00115
ENSG00000187634.11,SAMD11
ENSG00000131591.17,C1orf159
ENSG00000162572.19,SCNN1D
ENSG00000169972.11,PUSL1
ENSG00000224051.6,CPTP
ENSG00000160072.19,ATAD3B
ENSG00000197785.13,ATAD3A
ENSG00000197530.12,MIB2
ENSG00000116151.13,MORN1
ENSG00000272420.1,RP4-740C4.7
ENSG00000116213.15,WRAP73
ENSG00000227372.11,TP73-AS1
ENSG00000169598.15,DFFB
ENSG00000198912.10,C1orf174
ENSG00000131697.17,NPHP4
ENSG00000158292.6,GPR153
ENSG00000171680.20,PLEKHG5
ENSG00000204859.12,ZBTB48
ENSG00000188807.12,TMEM201
ENSG00000271895.2,RP4-635E18.8
ENSG00000204624.7,DISP3
ENSG00000162490.6,DRAXIN
ENSG00000177000.10,MTHFR
ENSG00000201801.1,RNU5E-4P
ENSG00000132906.17,CASP9
ENSG00000235084.3,CHCHD2P6
ENSG00000197312.11,DDI2
ENSG00000179743.4,FLJ37453
ENSG00000206652.1,RNU1-1
ENSG00000219481.10,NBPF1
ENSG00000058453.16,CROCC
ENSG00000230424.1,RP1-43E13.2
ENSG00000040487.12,PQLC2
ENSG00000142794.18,NBPF3
ENSG00000218510.6,LINC00339
ENSG00000133216.16,EPHB2
ENSG00000249087.6,ZNF436-AS1
ENSG00000236810.5,TCEB3-AS1
ENSG00000117308.14,GALE
ENSG00000117305.14,HMGCL
ENSG00000001460.17,STPG1
ENSG00000117602.11,RCAN3
ENSG00000224183.1,SDHDP6
ENSG00000169442.8,CD52
ENSG00000225891.1,RP3-476K8.3
ENSG00000204160.11,ZDHHC18
ENSG00000235912.1,RP1-159A19.3
ENSG00000009780.15,FAM76A
ENSG00000204138.12,PHACTR4
ENSG00000180098.9,TRNAU1AP
ENSG00000197989.13,SNHG12
ENSG00000229388.1,RP11-442N24__B.1
ENSG00000162419.12,GMEB1
ENSG00000084628.9,NKAIN1
ENSG00000121775.17,TMEM39B
ENSG00000160050.14,CCDC28B
ENSG00000160051.11,IQCC
ENSG00000160055.19,TMEM234
ENSG00000220785.7,MTMR9LP
ENSG00000160062.14,ZBTB8A
ENSG00000162522.10,KIAA1522
ENSG00000121903.14,ZSCAN20
ENSG00000163867.16,ZMYM6
ENSG00000204084.12,INPP5B
ENSG00000228436.2,RP5-864K19.4
ENSG00000182109.7,RP11-69E11.4
ENSG00000116981.3,NT5C1A
ENSG00000084072.16,PPIE
ENSG00000116985.11,BMP8B
ENSG00000116990.10,MYCL
ENSG00000187815.9,ZFP69
ENSG00000117010.15,ZNF684
ENSG00000236505.1,RP1-63P18.2
ENSG00000272145.1,NFYC-AS1
ENSG00000186409.14,CCDC30
ENSG00000117385.15,P3H1
ENSG00000164008.14,C1orf50
ENSG00000164011.17,ZNF691
ENSG00000243710.7,CFAP57
ENSG00000237950.1,RP11-7O11.3
ENSG00000126106.13,TMEM53
ENSG00000132781.17,MUTYH
ENSG00000230896.1,RP11-767N6.7
ENSG00000117481.10,NSUN4
ENSG00000079277.19,MKNK1
ENSG00000186160.4,CYP4Z1
ENSG00000123473.15,STIL
ENSG00000235105.1,RP11-329A14.1
ENSG00000186094.16,AGBL4
ENSG00000162373.12,BEND5
ENSG00000123080.10,CDKN2C
ENSG00000198841.3,KTI12
ENSG00000116157.5,GPX7
