gene_id,gene_name
ENSG00000236948.2,RP11-154H17.1
ENSG00000120937.8,NPPB
ENSG00000261135.1,RP4-798A10.7
ENSG00000263793.1,MIR3115
ENSG00000228172.5,RP1-317E23.3
ENSG00000260063.1,RP5-968P14.2
ENSG00000175793.11,SFN
ENSG00000231344.1,RP3-426I6.2
ENSG00000130768.14,SMPDL3B
ENSG00000227416.2,RP11-109P14.2
ENSG00000274386.5,RP5-994D16.11
ENSG00000142959.4,BEST4
ENSG00000162456.9,KNCN
ENSG00000261196.1,CYP4A43P
ENSG00000261290.1,CYP4A44P
ENSG00000225506.2,CYP4A22-AS1
ENSG00000261664.5,TTC39A-AS1
ENSG00000270457.1,RP11-467C18.1
ENSG00000240563.1,L1TD1
ENSG00000235927.4,NEXN-AS1
ENSG00000055732.12,MCOLN3
ENSG00000236915.1,RP4-651E10.4
ENSG00000272931.1,RP5-943J3.2
ENSG00000203910.8,C1orf146
ENSG00000232825.1,RP5-896L10.1
ENSG00000243480.7,AMY2A
ENSG00000261654.1,RP11-96K19.4
ENSG00000227811.2,FAM212B-AS1
ENSG00000188761.11,BCL2L15
ENSG00000175984.14,DENND2C
ENSG00000223779.5,RP11-403I13.4
ENSG00000275064.1,CH17-262O2.1
ENSG00000085552.16,IGSF9
ENSG00000283696.1,RP11-122G18.12
ENSG00000215840.3,RP11-122G18.7
ENSG00000225171.2,DUTP6
ENSG00000235736.1,RP1-10C16.1
ENSG00000203601.3,LINC00970
ENSG00000094963.13,FMO2
ENSG00000230849.2,GOT2P2
ENSG00000273384.1,RP5-1098D14.1
ENSG00000266417.1,MIR4424
ENSG00000227141.2,RP11-545A16.3
ENSG00000243155.1,RP11-46A10.5
ENSG00000058085.14,LAMC2
ENSG00000234871.1,LINC01032
ENSG00000081248.10,CACNA1S
ENSG00000081277.12,PKP1
ENSG00000231507.1,LINC01353
ENSG00000272750.1,RP11-378J18.8
ENSG00000225518.2,RP11-396C23.2
ENSG00000224525.2,RP11-561I11.3
ENSG00000177462.6,OR2T8
ENSG00000189292.15,FAM150B
ENSG00000233684.2,AC079779.6
ENSG00000236856.1,AC105393.1
ENSG00000226277.1,AC105393.2
ENSG00000272275.1,RP11-791G15.2
ENSG00000279307.2,RP11-130L8.3
ENSG00000235497.5,AC012506.4
ENSG00000276087.1,RP11-507M3.1
ENSG00000143921.6,ABCG8
ENSG00000241791.3,RN7SL817P
ENSG00000239332.5,LINC01119
ENSG00000207923.1,MIR559
ENSG00000162997.15,PRORSD1P
ENSG00000222030.1,AC007131.1
ENSG00000159239.12,C2orf81
ENSG00000115363.13,EVA1A
ENSG00000214429.3,CYCSP6
ENSG00000261600.1,RP11-575H3.1
ENSG00000230393.1,AC092667.2
ENSG00000272902.2,RP11-299H21.1
ENSG00000115598.9,IL1RL2
ENSG00000115616.2,SLC9A2
ENSG00000115641.18,FHL2
ENSG00000237880.1,AC096669.2
ENSG00000169679.14,BUB1
ENSG00000172965.14,MIR4435-2HG
ENSG00000224959.1,AC017002.2
ENSG00000260634.1,RP11-521O16.1
ENSG00000260163.1,RP11-521O16.2
ENSG00000236682.1,AC068282.3
ENSG00000224425.2,AC073869.2
ENSG00000235615.2,AJ239322.1
ENSG00000212410.1,RNU6-932P
ENSG00000136546.13,SCN7A
ENSG00000214369.2,AC009967.3
ENSG00000272966.1,RP11-686O6.1
ENSG00000242696.3,RN7SL40P
ENSG00000273466.1,RP11-548H3.1
ENSG00000206725.1,RNU6-1027P
ENSG00000225963.7,AC009950.2
ENSG00000168505.6,GBX2
ENSG00000225521.1,AC005237.4
ENSG00000215023.2,AC114730.5
ENSG00000271153.1,RPL23AP88
ENSG00000233121.1,VN1R20P
ENSG00000131379.9,C3orf20
ENSG00000231395.1,AC124914.3
ENSG00000271943.1,RP11-222K16.1
ENSG00000197385.5,ZNF860
ENSG00000229589.1,ACVR2B-AS1
ENSG00000202517.1,SNORA64
ENSG00000225873.3,LINC00694
ENSG00000164049.14,FBXW12
ENSG00000271858.5,CYB561D2
ENSG00000164082.14,GRM2
ENSG00000179799.8,OR7E22P
ENSG00000179097.5,HTR1F
ENSG00000273123.1,RP11-9N20.3
ENSG00000189366.9,ALG1L
ENSG00000250218.1,ALDH1L1-AS1
ENSG00000163645.14,ERICH6
ENSG00000244668.1,SNRPCP3
ENSG00000225764.1,P3H2-AS1
ENSG00000113946.3,CLDN16
ENSG00000223711.1,AC091633.3
ENSG00000225578.1,NCBP2-AS1
ENSG00000251669.5,FAM86EP
ENSG00000250476.1,ENPP7P9
ENSG00000248360.7,LINC00504
ENSG00000249863.2,RP11-177C12.1
ENSG00000260296.1,RP11-395I6.3
ENSG00000196503.2,ARL9
ENSG00000248479.1,RP11-807H7.2
ENSG00000163631.16,ALB
ENSG00000163735.6,CXCL5
ENSG00000183423.11,LRIT3
ENSG00000251441.2,RTEL1P1
ENSG00000164099.3,PRSS12
ENSG00000207148.1,Y_RNA
ENSG00000142731.10,PLK4
ENSG00000249661.1,TNRC18P1
ENSG00000207155.1,RNY1P14
ENSG00000250547.1,RP11-719L21.1
ENSG00000250327.1,RPSAP70
ENSG00000251168.1,CTD-2072I24.1
ENSG00000253766.1,RP11-804N13.1
ENSG00000250003.2,CTD-2116N24.1
ENSG00000152670.18,DDX4
ENSG00000225940.5,C5orf67
ENSG00000249655.1,CTC-325J23.2
ENSG00000243385.2,CTD-2110K23.1
ENSG00000245864.2,CTC-467M3.1
ENSG00000250162.1,CSNK1A1P3
ENSG00000246859.2,STARD4-AS1
ENSG00000249150.1,CTC-472C24.1
ENSG00000272139.1,CTD-2544H17.2
ENSG00000279469.1,RP11-215P8.2
ENSG00000061492.11,WNT8A
ENSG00000226650.5,KIF4B
ENSG00000113249.12,HAVCR1
ENSG00000145863.10,GABRA6
ENSG00000074276.10,CDHR2
ENSG00000253520.1,RP11-798K23.5
ENSG00000248514.1,CTC-338M12.1
ENSG00000230438.6,SERPINB9P1
ENSG00000216307.2,RP3-400B16.2
ENSG00000202313.1,RNU1-64P
ENSG00000272462.2,U91328.19
ENSG00000281706.2,LINC01012
ENSG00000272221.1,XXbac-BPG181B23.7
ENSG00000124664.10,SPDEF
ENSG00000237686.6,RP5-1120P11.1
ENSG00000199762.1,Y_RNA
ENSG00000223389.1,SDCBP2P1
ENSG00000226840.1,PAICSP3
ENSG00000233835.1,RP1-92C4.2
ENSG00000183807.7,FAM162B
ENSG00000198523.5,PLN
ENSG00000278744.1,CTA-444M12.3
ENSG00000178199.13,ZC3H12D
ENSG00000231654.1,RPS6KA2-AS1
ENSG00000237987.1,RP11-503C24.2
ENSG00000223813.2,AC007255.8
ENSG00000232006.8,AC005537.2
ENSG00000164744.12,SUN3
ENSG00000276650.1,RP11-321E8.8
ENSG00000270948.1,RP11-460N20.7
ENSG00000226767.1,RP11-328P23.3
ENSG00000227038.3,GTF2IP7
ENSG00000224273.2,AC005077.7
ENSG00000188372.14,ZP3
ENSG00000230305.2,AC004980.9
ENSG00000230927.2,TMBIM7P
ENSG00000279067.1,GS1-25M2.1
ENSG00000272950.1,RP11-307C18.1
ENSG00000021461.16,CYP3A43
ENSG00000091137.11,SLC26A4
ENSG00000273055.1,CTB-13F3.1
ENSG00000180019.5,AC079741.2
ENSG00000234071.1,RP11-420H19.1
ENSG00000252866.1,RNA5SP243
ENSG00000230101.5,TUBB3P2
ENSG00000106462.10,EZH2
ENSG00000228569.1,AC073133.2
ENSG00000233878.1,AC073133.1
ENSG00000253620.2,AC144568.4
ENSG00000233176.3,OR7E157P
ENSG00000261026.1,CTD-3247F14.2
ENSG00000253891.1,RP11-203E8.1
ENSG00000253642.5,RP11-317N12.1
ENSG00000253437.1,RNU6-988P
ENSG00000240015.2,RP11-90P5.5
ENSG00000147465.11,STAR
ENSG00000165046.12,LETM2
ENSG00000253570.1,RNF5P1
ENSG00000240915.2,RP11-659E9.2
ENSG00000253554.5,RP11-32K4.1
ENSG00000277740.1,Metazoa_SRP
ENSG00000253596.1,CTD-2320G14.2
