gene_id,gene_name
ENSG00000278791.1,MIR6723
ENSG00000272512.1,RP11-54O7.17
ENSG00000272455.1,RP4-758J18.13
ENSG00000215915.9,ATAD3C
ENSG00000162585.16,FAAP20
ENSG00000269896.2,RP4-740C4.5
ENSG00000272449.1,RP3-395M20.12
ENSG00000238260.1,RP11-46F15.2
ENSG00000215788.9,TNFRSF25
ENSG00000270171.1,RP11-338N10.1
ENSG00000270035.1,RP11-338N10.2
ENSG00000269925.1,RP3-467L1.6
ENSG00000236269.1,ENO1-IT1
ENSG00000228150.1,RP11-84A14.4
ENSG00000202415.1,RN7SKP269
ENSG00000229484.1,RP5-888M10.2
ENSG00000276830.1,MIR6730
ENSG00000226029.1,RP4-798A10.2
ENSG00000271840.1,RP1-224A6.9
ENSG00000237200.1,ZBTB40-IT1
ENSG00000261349.1,RP3-465N24.5
ENSG00000259984.1,RP11-335G20.7
ENSG00000142675.17,CNKSR1
ENSG00000180198.15,RCC1
ENSG00000183615.5,FAM167B
ENSG00000276645.1,Metazoa_SRP
ENSG00000279179.1,RP11-131M11.3
ENSG00000255811.1,RP1-34M23.5
ENSG00000239636.1,RP4-728D4.2
ENSG00000270040.1,RP11-416A14.1
ENSG00000228477.1,RP3-342P20.2
ENSG00000198974.3,MIR30E
ENSG00000171790.15,SLFNL1
ENSG00000283414.1,U6
ENSG00000232022.7,FAAHP1
ENSG00000272100.1,RP11-155O18.6
ENSG00000236723.2,RP5-1024G6.2
ENSG00000225030.1,RP4-784A16.3
ENSG00000280378.1,RP4-758J24.6
ENSG00000231622.1,RP4-700A9.1
ENSG00000237852.1,RP4-630A11.3
ENSG00000221203.1,MIR1262
ENSG00000271992.1,RP11-42O15.3
ENSG00000272864.1,RP11-17E13.2
ENSG00000057468.6,MSH4
ENSG00000223787.2,RP4-593M8.1
ENSG00000122483.17,CCDC18
ENSG00000260940.1,RP4-575N6.5
ENSG00000162650.16,ATXN7L2
ENSG00000273483.1,RP4-671G15.2
ENSG00000235527.6,HIPK1-AS1
ENSG00000224950.2,RP5-1086K13.1
ENSG00000260941.1,LINC00622
ENSG00000270231.3,NBPF8
ENSG00000162836.11,ACP6
ENSG00000188092.14,GPR89B
ENSG00000275557.1,RP11-353N4.6
ENSG00000220323.3,HIST2H2BD
ENSG00000203819.6,HIST2H2BC
ENSG00000143434.15,SEMA6C
ENSG00000265753.2,RN7SL444P
ENSG00000143375.14,CGN
ENSG00000231416.1,RP11-422P24.9
ENSG00000270361.1,RP11-307C12.13
ENSG00000227773.1,ASH1L-IT1
ENSG00000163472.18,TMEM79
ENSG00000189030.9,VHLL
ENSG00000212161.1,SNORD64
ENSG00000224261.2,RPSAP18
ENSG00000158887.15,MPZ
ENSG00000173110.7,HSPA6
ENSG00000225217.1,HSPA7
ENSG00000229808.1,RP11-456P18.2
ENSG00000207729.3,MIR556
ENSG00000132196.13,HSD17B7
ENSG00000271917.1,RP11-506O24.2
ENSG00000235628.1,TNR-IT1
ENSG00000231966.1,RP11-12M5.4
ENSG00000272906.1,RP11-533E19.7
ENSG00000162783.10,IER5
ENSG00000201421.1,Y_RNA
ENSG00000273004.1,GS1-279B7.2
ENSG00000073756.11,PTGS2
ENSG00000265986.1,MIR4735
ENSG00000207975.1,MIR181B1
ENSG00000203721.6,LINC00862
ENSG00000199471.1,Y_RNA
ENSG00000174529.7,TMEM81
ENSG00000229832.1,RP11-384C4.2
ENSG00000236905.2,RP11-348H3.2
ENSG00000277007.1,RP11-392O17.2
ENSG00000234523.1,NDUFB1P2
ENSG00000237101.1,RP11-365O16.6
ENSG00000234112.2,RP11-145A3.4
ENSG00000276255.2,RP5-881P19.7
ENSG00000233461.5,RP11-295G20.2
ENSG00000226758.1,DISC1-IT1
ENSG00000252084.1,RN7SKP12
ENSG00000225401.2,TGIF2P1
ENSG00000279263.1,OR2L8
ENSG00000187080.7,OR2AK2
ENSG00000232215.2,OR2L6P
ENSG00000197454.1,OR2L5
ENSG00000228643.1,AC079779.4
ENSG00000225964.5,NRIR
ENSG00000230044.1,AC110754.3
ENSG00000228496.1,AC106875.1
ENSG00000264370.1,MIR3125
ENSG00000234946.1,SDHCP3
ENSG00000237953.1,AC013267.1
ENSG00000234072.1,AC074117.10
ENSG00000162959.13,MEMO1
ENSG00000238038.1,ATP6V0E1P3
ENSG00000229692.3,SOS1-IT1
ENSG00000162878.12,PKDCC
ENSG00000225187.1,AC073283.7
ENSG00000233230.1,AC079807.2
ENSG00000272156.1,RP11-477N3.1
ENSG00000203327.2,AC012358.7
ENSG00000162927.13,PUS10
ENSG00000273302.1,RP11-493E12.2
ENSG00000228079.2,AC012368.1
ENSG00000273763.1,RP11-420C9.1
ENSG00000273064.1,RP11-474G23.3
ENSG00000204822.6,MRPL53
ENSG00000200701.1,RNU6-674P
ENSG00000235833.1,AC159540.14
ENSG00000144214.9,LYG1
ENSG00000243389.1,AC012442.5
ENSG00000236397.3,DDX11L2
ENSG00000227359.1,AC017074.2
ENSG00000270019.1,RP11-141B14.1
ENSG00000279957.1,RP11-141B14.2
ENSG00000236255.1,AC009404.2
ENSG00000224967.1,AC009303.3
ENSG00000229326.3,AC069154.4
ENSG00000224789.1,AC012363.4
ENSG00000201470.1,RNY4P7
ENSG00000178162.8,FAR2P2
ENSG00000228043.5,AC097721.2
ENSG00000234584.1,AC019186.1
ENSG00000271320.1,RP11-1152H14.1
ENSG00000182263.13,FIGN
ENSG00000265694.1,MIR4774
ENSG00000252779.1,RNU6-182P
ENSG00000237260.1,AC073069.2
ENSG00000223960.6,AC009948.5
ENSG00000270956.1,RP11-65L3.4
ENSG00000270277.1,RP11-65L3.2
ENSG00000279598.1,RP11-65L3.3
ENSG00000271011.1,RP11-171I2.5
ENSG00000270574.1,RP11-171I2.2
ENSG00000252130.1,RNU6-1045P
ENSG00000187944.2,C2orf66
ENSG00000280176.1,RP11-84A12.1
ENSG00000231699.1,AC020550.7
ENSG00000201649.1,RNY4P34
ENSG00000231903.1,AC079354.5
ENSG00000223825.5,DAZAP2P1
ENSG00000271852.1,SNORD11B
ENSG00000231294.1,AC006994.2
ENSG00000115556.13,PLCD4
ENSG00000115592.11,PRKAG3
ENSG00000115657.12,ABCB6
ENSG00000072182.12,ASIC4
ENSG00000269068.1,RP11-256I23.2
ENSG00000206885.1,SNORA75
ENSG00000283312.1,RP11-562I5.1
ENSG00000261096.1,RP11-690I21.2
ENSG00000251485.1,AC068134.10
ENSG00000266109.1,MIR4440
ENSG00000264810.1,MIR4441
ENSG00000218416.4,PP14571
ENSG00000260942.1,CAPN10-AS1
ENSG00000178623.11,GPR35
ENSG00000273113.1,RP11-367H1.1
ENSG00000269886.1,RP11-266J6.2
ENSG00000269894.1,RP11-1020A11.1
ENSG00000230082.1,PRRT3-AS1
ENSG00000268279.4,RP11-434D12.1
ENSG00000241064.3,RN7SL110P
ENSG00000229468.1,RPL39P18
ENSG00000271993.1,RP11-285J16.1
ENSG00000231449.1,AC097359.2
ENSG00000271653.1,RP11-259K5.1
ENSG00000232375.1,RP11-136C24.1
ENSG00000234617.1,SNRK-AS1
ENSG00000178917.15,ZNF852
ENSG00000227398.3,KIF9-AS1
ENSG00000224895.1,VPS26BP1
ENSG00000225697.11,SLC26A6
ENSG00000199032.1,MIR425
ENSG00000270538.1,RP11-3B7.7
ENSG00000183763.8,TRAIP
ENSG00000001617.11,SEMA3F
ENSG00000230454.1,U73166.2
ENSG00000114735.9,HEMK1
ENSG00000199150.3,MIRLET7G
ENSG00000212493.1,SNORD19
ENSG00000202428.1,RNU6-108P
ENSG00000213509.4,PPIAP16
ENSG00000225673.3,RP11-641C17.3
ENSG00000239653.1,PSMD6-AS2
ENSG00000241163.7,LINC00877
ENSG00000276471.1,RP11-398A8.5
ENSG00000281392.1,LINC00506
ENSG00000241787.1,MTND4P16
ENSG00000272597.1,RP11-446H18.6
ENSG00000275670.1,MIR8076
ENSG00000242829.1,RPS26P21
ENSG00000176142.12,TMEM39A
ENSG00000113924.11,HGD
ENSG00000272678.1,RP11-797D24.4
ENSG00000280042.1,RP11-71H17.8
ENSG00000282860.1,RP11-153F10.2
ENSG00000277250.1,Metazoa_SRP
ENSG00000242551.2,POU5F1P6
ENSG00000172771.11,EFCAB12
ENSG00000200571.1,RNU6-1284P
ENSG00000248773.1,RP11-231L11.3
ENSG00000240888.1,RP13-635I23.3
ENSG00000261051.1,RP11-274H2.5
ENSG00000240032.1,RP11-274H2.3
ENSG00000272440.1,RP11-379F4.6
ENSG00000279311.1,RP11-170K4.2
ENSG00000184378.2,ACTRT3
ENSG00000243398.3,RN7SL141P
ENSG00000242539.2,AC007620.3
ENSG00000272699.1,RP11-145M9.5
ENSG00000272910.1,RP11-15L13.4
ENSG00000207351.1,Y_RNA
ENSG00000238020.1,HTR3E-AS1
ENSG00000273181.1,RP11-778D9.13
ENSG00000272721.5,RP11-778D9.12
ENSG00000223117.1,RN7SKP296
ENSG00000272707.1,RP11-534C12.1
ENSG00000244314.3,RN7SL36P
ENSG00000273009.1,RP11-352G9.1
ENSG00000239122.1,RNU2-11P
ENSG00000260261.1,RP11-480A16.1
ENSG00000225240.1,AC117490.2
ENSG00000253399.1,AC078852.2
ENSG00000207009.1,Y_RNA
ENSG00000270195.1,RP11-572O17.1
ENSG00000109758.8,HGFAC
