gene_id,gene_name
ENSG00000278267.1,MIR6859-1
ENSG00000235098.8,ANKRD65
ENSG00000205116.3,TMEM88B
ENSG00000179403.11,VWA1
ENSG00000149527.17,PLCH2
ENSG00000049245.12,VAMP3
ENSG00000162444.11,RBP7
ENSG00000117115.12,PADI2
ENSG00000169504.14,CLIC4
ENSG00000157978.11,LDLRAP1
ENSG00000117632.21,STMN1
ENSG00000186056.9,MATN1-AS1
ENSG00000084636.17,COL16A1
ENSG00000184007.18,PTP4A2
ENSG00000175130.6,MARCKSL1
ENSG00000142920.16,AZIN2
ENSG00000116525.13,TRIM62
ENSG00000263675.1,MIR5581
ENSG00000158315.10,RHBDL2
ENSG00000049089.13,COL9A2
ENSG00000179178.10,TMEM125
ENSG00000117399.13,CDC20
ENSG00000066322.13,ELOVL1
ENSG00000117408.10,IPO13
ENSG00000196517.11,SLC6A9
ENSG00000187147.17,RNF220
ENSG00000263381.1,MIR5584
ENSG00000070759.16,TESK2
ENSG00000132780.16,NASP
ENSG00000117480.15,FAAH
ENSG00000116133.11,DHCR24
ENSG00000234807.5,LINC01135
ENSG00000132854.18,KANK4
ENSG00000125703.14,ATG4C
ENSG00000265996.1,MIR3671
ENSG00000231485.1,RP4-535B20.1
ENSG00000137941.16,TTLL7
ENSG00000233061.1,TTLL7-IT1
ENSG00000016602.9,CLCA4
ENSG00000171492.14,LRRC8D
ENSG00000207523.1,SNORA66
ENSG00000232542.1,DPYD-IT1
ENSG00000116266.10,STXBP3
ENSG00000134222.16,PSRC1
ENSG00000134243.11,SORT1
ENSG00000163393.12,SLC22A15
ENSG00000203865.9,ATP1A1-AS1
ENSG00000212385.1,RNU6-817P
ENSG00000118298.10,CA14
ENSG00000143418.19,CERS2
ENSG00000143409.15,FAM63A
ENSG00000207475.1,SNORA80E
ENSG00000277817.1,MIR6738
ENSG00000160781.15,PAQR6
ENSG00000132702.12,HAPLN2
ENSG00000143315.6,PIGM
ENSG00000162729.13,IGSF8
ENSG00000158859.9,ADAMTS4
ENSG00000283152.1,MIR3120
ENSG00000273629.1,U7
ENSG00000198756.10,COLGALT2
ENSG00000229989.3,MIR181A1HG
ENSG00000207759.1,MIR181A1
ENSG00000159176.13,CSRP1
ENSG00000223396.2,RP11-134G8.5
ENSG00000143862.7,ARL8A
ENSG00000226862.1,RP11-569A11.1
ENSG00000163485.15,ADORA1
ENSG00000133056.13,PIK3C2B
